PLAYERS
PID,Name,Position,TID,Other_Teams
ARIKK001,Jay Feely,K,ARI,<ATL|NYG|MIA|NYJ>
ARIQB001,John Skelton,QB,ARI,<>
ARIQB002,Carson Palmer,QB,ARI,<CIN|OAK>
ARIQB003,Ryan Lindley,QB,ARI,<>
ARIQB004,Richard Bartel,QB,ARI,<>
ARIQB005,Shaun King,QB,ARI,<TAM>
ARIQB006,Kurt Warner,QB,ARI,<STL|NYG>
ARIQB007,Tim Rattay,QB,ARI,<SFO|TAM>
ARIQB008,Kevin Kolb,QB,ARI,<PHI>
ARIQB009,Tim Hasselbeck,QB,ARI,<WAS|NYG>
ARIQB010,Max Hall,QB,ARI,<>
ARIQB011,John Navarre,QB,ARI,<>
ARIRB001,Stepfan Taylor,RB,ARI,<>
ARIRB002,Marcel Shipp,RB,ARI,<>
ARIRB003,James Jackson,RB,ARI,<CLE>
ARIRB004,Troy Hambrick,RB,ARI,<DAL>
ARIRB005,Chester Taylor,RB,ARI,<BAL|MIN|CHI>
ARIRB006,Obafemi Ayanbadejo,RB,ARI,<BAL|MIA>
ARIRB007,Damien Anderson,RB,ARI,<>
ARIRB008,Emmitt Smith,RB,ARI,<DAL>
ARIRB009,Jason Wright,RB,ARI,<ATL|CLE>
ARIRB010,Dennis McKinley,RB,ARI,<>
ARIRB011,Jarrod Baxter,RB,ARI,<HOU>
ARIRB012,Andre Ellington,RB,ARI,<>
ARIRB013,Rashard Mendenhall,RB,ARI,<PIT>
ARIRB014,Larry Croom,RB,ARI,<>
ARIRB015,J.J. Arrington,RB,ARI,<>
ARIRB016,Reagan Maui\'a,RB,ARI,<MIA>
ARIRB017,Joel Makovicka,RB,ARI,<>
ARIRB018,Beanie Wells,RB,ARI,<>
ARIRB019,Alfonso Smith,RB,ARI,<>
ARIRB020,Ryan Williams,RB,ARI,<>
ARIRB021,Dan Kreider,RB,ARI,<PIT|STL>
ARIRB022,William Powell,RB,ARI,<>
ARITE001,Eric Edwards,TE,ARI,<>
ARITE002,Ben Patrick,TE,ARI,<>
ARITE003,Terry Hardy,TE,ARI,<>
ARITE004,Kory Sperry,TE,ARI,<MIA|SDG>
ARITE005,Freddie Jones,TE,ARI,<SDG>
ARITE006,Todd Heap,TE,ARI,<BAL>
ARITE007,Rob Housler,TE,ARI,<>
ARITE008,Troy Bienemann,TE,ARI,<>
ARITE009,Jeff King,TE,ARI,<CAR>
ARITE010,John Bronson,TE,ARI,<>
ARITE011,Teyo Johnson,TE,ARI,<OAK>
ARITE012,Jerame Tuman,TE,ARI,<PIT>
ARITE013,Jake Ballard,TE,ARI,<NYG>
ARITE014,Jim Dray,TE,ARI,<>
ARITE015,Adam Bergen,TE,ARI,<>
ARITE016,Trey Junkin,TE,ARI,<>
ARITE017,Tywan Mitchell,TE,ARI,<>
ARIWR001,Brittan Golden,WR,ARI,<>
ARIWR002,Jake Soliday,WR,ARI,<>
ARIWR003,Larry Foster,WR,ARI,<DET>
ARIWR004,LeRon McCoy,WR,ARI,<>
ARIWR005,Sean Morey,WR,ARI,<PHI|PIT>
ARIWR006,MarTay Jenkins,WR,ARI,<>
ARIWR007,Charles Lee,WR,ARI,<GNB|TAM>
ARIWR008,Reggie Newhouse,WR,ARI,<>
