# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
DALDE0011,DAL,2001,1,1,0,1,0.0,0,0,0,0,0,1
DENDE0337,DAL,2001,1,1,1,2,0.0,0,0,0,0,0,0
TENDE0482,TEN,2001,1,2,1,3,0.0,0,0,0,0,0,0
CARDE0100,OAK,2001,1,1,0,1,0.0,0,0,0,0,0,0
SEADE0326,ATL,2001,1,3,0,3,0.0,0,0,0,0,0,0
CARDE0330,CAR,2001,1,2,1,3,0.0,0,0,0,0,0,0
SEADE0128,SEA,2001,1,1,0,1,0.0,0,0,0,0,0,0
PITDE0385,PIT,2001,1,4,0,4,1.0,0,0,0,0,0,0
NORDE0237,OAK,2001,1,2,1,3,1.0,3,0,0,0,0,0
MINDE0152,GNB,2001,1,1,0,1,0.0,0,0,0,0,0,0
NYJDE0190,KAN,2001,1,1,0,1,0.0,0,0,0,0,0,0
CARDE0023,CAR,2001,1,1,1,2,0.0,0,0,0,0,0,0
OAKDE0352,DAL,2001,1,6,0,6,1.0,1,0,0,0,0,0
CINDE0132,CHI,2001,1,1,0,1,0.0,0,0,0,0,0,0
PITDE0348,DET,2001,1,1,1,2,0.0,0,0,0,0,0,0
ARIDE0365,GNB,2001,1,4,2,6,2.0,12,0,0,0,0,0
MINDE0209,MIA,2001,1,1,0,1,0.0,0,0,0,0,0,0
STLDE0421,STL,2001,1,4,0,4,1.0,7,0,0,0,0,0
SFODE0203,PHI,2001,1,0,2,2,0.0,0,0,0,0,0,0
NYGDE0159,MIA,2001,1,1,2,3,0.0,0,0,0,0,0,0
INDDE0158,IND,2001,1,2,1,3,0.0,0,0,0,0,0,0
MINDE0133,MIN,2001,1,0,1,1,0.0,0,1,2,0,0,1
BUFDE0514,JAC,2001,1,1,1,2,0.0,0,0,0,0,0,0
NWEDE0631,SFO,2001,1,2,2,4,0.0,0,0,0,0,0,0
STLDE0545,DET,2001,1,2,1,3,0.0,0,0,0,0,0,0
SEADE0085,SEA,2001,1,1,0,1,0.0,0,0,0,0,0,0
BUFDE0474,BUF,2001,1,2,0,2,0.0,0,0,0,0,0,0
ATLDE0153,CHI,2001,1,1,0,1,0.0,0,0,0,0,0,0
HOUDE0208,WAS,2001,1,1,0,1,0.0,0,0,0,0,0,0
ARIDE0202,PIT,2001,1,1,0,1,0.0,0,0,0,0,0,0
TAMDE0307,MIN,2001,1,1,2,3,0.0,0,0,0,0,0,0
PITDE0003,PIT,2001,1,1,0,1,0.0,0,0,0,0,0,0
CARDE0029,SFO,2001,1,0,1,1,0.0,0,0,0,0,0,0
JACDE0419,JAC,2001,1,3,0,3,1.0,8,0,0,0,0,1
GNBDE0139,IND,2001,1,2,1,3,0.0,0,0,0,0,0,1
NORDE0272,NOR,2001,1,0,1,1,0.0,0,0,0,0,0,0
TENDE0368,BUF,2001,1,1,1,2,1.0,7,0,0,0,0,0
CLEDE0231,CLE,2001,1,2,0,2,0.0,0,0,0,0,0,0
STLDE0152,BUF,2001,1,2,0,2,0.5,5,0,0,0,0,0
GNBDE0342,GNB,2001,1,3,1,4,3.0,20,0,0,0,1,0
DENDE0336,SFO,2001,1,1,0,1,0.0,0,0,0,0,0,1
PHIDE0383,NOR,2001,1,1,1,2,0.0,0,0,0,0,0,0
MINDE0047,CLE,2001,1,1,0,1,0.0,0,0,0,0,0,0
MIADE0587,MIA,2001,1,2,2,4,1.0,9,0,0,0,0,1
JACDE0229,PIT,2001,1,1,1,2,0.0,0,0,0,0,0,0
BUFDE0046,BUF,2001,1,1,1,2,0.0,0,0,0,0,0,0
SDGDE0035,SDG,2001,1,0,1,1,0.0,0,0,0,0,0,0
NYGDE0320,NYG,2001,1,6,0,6,0.0,0,0,0,0,0,0
INDDE0128,IND,2001,1,4,0,4,0.0,0,0,0,0,0,0
GNBDE0115,NOR,2001,1,6,2,8,3.0,17,0,0,0,0,0
NWEDE0147,NYJ,2001,1,2,1,3,0.0,0,0,0,0,0,0
CINDE0036,CIN,2001,1,2,2,4,0.5,1,0,0,0,0,2
SFODE0375,SFO,2001,1,2,0,2,2.0,14,0,0,0,0,0
DENDE0147,SDG,2001,1,1,0,1,0.0,0,0,0,0,0,0
BALDE0034,BAL,2001,1,6,1,7,0.0,0,0,0,0,0,0
PHIDE0053,SEA,2001,1,1,2,3,0.0,0,0,0,0,0,0
