# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
JACDT0128,KAN,2001,1,3,0,3,0.0,0,0,0,0,0,0
JACDT0159,NOR,2001,1,2,0,2,0.0,0,0,0,0,0,0
WASDT0193,TEN,2001,1,1,0,1,0.0,0,0,0,0,0,0
ATLDT0034,ATL,2001,1,1,1,2,0.0,0,0,0,0,0,0
HOUDT0113,BAL,2001,1,0,1,1,0.0,0,0,0,0,0,0
WASDT0125,MIA,2001,1,0,1,1,0.0,0,0,0,0,0,0
INDDT0211,TAM,2001,1,2,1,3,0.0,0,0,0,0,0,0
MIADT0130,CAR,2001,1,4,0,4,0.0,0,0,0,0,0,0
CINDT0426,DAL,2001,1,3,1,4,0.0,0,0,0,0,0,0
MINDT0425,BUF,2001,1,2,2,4,0.0,0,0,0,0,0,0
CHIDT0084,IND,2001,1,1,0,1,0.0,0,0,0,0,0,0
NYJDT0402,DEN,2001,1,3,0,3,1.0,8,0,0,0,0,1
CARDT0367,PHI,2001,1,1,1,2,0.0,0,0,0,0,0,0
OAKDT0238,ATL,2001,1,1,0,1,1.0,5,0,0,0,0,0
CINDT0215,CIN,2001,1,1,2,3,0.0,0,0,0,0,0,0
CLEDT0047,CLE,2001,1,4,0,4,0.0,0,0,0,0,0,0
ARIDT0452,CHI,2001,1,3,0,3,0.0,0,0,0,0,1,0
WASDT0124,DAL,2001,1,3,1,4,0.0,0,0,0,0,0,0
CHIDT0018,CHI,2001,1,1,0,1,0.0,0,0,0,0,1,0
NYGDT0476,DET,2001,1,4,1,5,0.0,0,0,0,0,0,0
HOUDT0251,STL,2001,1,3,0,3,0.0,0,0,0,0,0,0
NWEDT0255,CLE,2001,1,5,0,5,1.0,10,0,0,0,0,1
KANDT0262,NYJ,2001,1,1,2,3,0.0,0,0,0,0,0,0
DALDT0082,DAL,2001,1,1,0,1,0.0,0,0,0,0,1,0
NYJDT0249,NYG,2001,1,1,0,1,0.0,0,0,0,0,0,0
NWEDT0002,NWE,2001,1,1,0,1,0.0,0,0,0,0,0,0
MINDT0039,MIN,2001,1,0,2,2,0.0,0,0,0,0,0,0
KANDT0030,KAN,2001,1,1,0,1,0.0,0,0,0,0,0,0
JACDT0293,JAC,2001,1,4,0,4,0.0,0,0,0,0,0,0
WASDT0283,NYG,2001,1,2,0,2,0.0,0,0,0,0,0,1
TAMDT0365,MIN,2001,1,3,3,6,0.5,6,0,0,0,0,0
TENDT0253,PHI,2001,1,5,0,5,1.0,4,0,0,0,1,1
STLDT0515,MIN,2001,1,4,1,5,1.0,11,0,0,0,0,0
DENDT0047,DEN,2001,1,0,1,1,0.0,0,0,0,0,0,0
NORDT0293,STL,2001,1,2,0,2,1.0,7,0,0,0,0,1
INDDT0195,IND,2001,1,3,2,5,0.0,0,0,0,0,0,0
MINDT0153,NYJ,2001,1,2,0,2,0.0,0,0,0,0,0,0
STLDT0389,NOR,2001,1,3,0,3,1.0,7,0,0,0,0,0
OAKDT0118,SFO,2001,1,1,1,2,0.0,0,0,0,0,0,0
NYJDT0091,BAL,2001,1,1,0,1,0.0,0,0,0,0,0,0
GNBDT0057,GNB,2001,1,1,1,2,0.0,0,0,0,0,0,1
HOUDT0227,STL,2001,1,1,1,2,0.0,0,0,0,0,0,0
OAKDT0172,SDG,2001,1,4,0,4,0.0,0,0,0,0,0,0
MIADT0233,WAS,2001,1,0,1,1,0.0,0,0,0,0,0,0
MIADT0142,MIA,2001,1,2,0,2,0.0,0,0,0,0,0,0
GNBDT0138,GNB,2001,1,1,0,1,0.0,0,0,0,0,0,0
NYGDT0118,NYG,2001,1,3,1,4,0.0,0,0,0,0,0,0
NYJDT0155,DEN,2001,1,1,0,1,0.0,0,0,0,0,0,0
BALDT0051,BAL,2001,1,2,0,2,0.0,0,0,0,0,0,0
MIADT0268,CHI,2001,1,2,0,2,0.0,0,0,0,0,0,0
SEADT0130,SEA,2001,1,3,0,3,1.0,12,0,0,0,0,0
CLEDT0243,CHI,2001,1,2,2,4,0.0,0,0,0,0,0,0
