STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
MINKK001,CHI,2004,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,N/A,2,2,100.0,2
TAMKK001,BUF,2004,1,0,0,1,1,0,0,0,1,0,0,1,2,50.0,25,1,1,100.0,4
ARIKK001,ATL,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
HOUKK002,ARI,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100.0,22,1,1,100.0,4
OAKKK001,OAK,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100.0,38,1,1,100.0,7
NORKK003,TAM,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100.0,47,1,1,100.0,4
SDGKK001,HOU,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100.0,37,2,2,100.0,8
NORKK004,CIN,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100.0,22,3,3,100.0,6
WASKK004,DAL,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100.0,27,2,2,100.0,5
JACKK001,JAC,2004,1,0,0,2,2,0,0,0,0,0,0,2,2,100.0,27,1,1,100.0,7
NYGKK001,KAN,2004,1,0,0,0,0,0,0,0,0,1,2,1,2,50.0,50,3,3,100.0,6
MIAKK001,SDG,2004,1,0,0,1,1,0,0,1,1,0,0,2,2,100.0,48,3,3,100.0,9
BALKK003,TEN,2004,1,0,0,1,1,0,1,0,0,0,0,1,2,50.0,22,2,2,100.0,5
SFOKK001,PIT,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100.0,42,3,3,100.0,6
NYGKK003,SEA,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
DETKK001,PHI,2004,1,0,0,0,0,0,0,1,1,0,1,1,2,50.0,45,4,4,100.0,7
DALKK003,IND,2004,1,0,0,0,0,1,1,0,1,0,0,1,2,50.0,32,3,3,100.0,6
DETKK002,DET,2004,1,0,0,2,2,0,0,0,0,0,0,2,2,100.0,27,2,2,100.0,8
ATLKK002,DEN,2004,1,0,0,0,0,0,0,2,2,0,0,2,2,100.0,45,4,4,100.0,10
CHIKK003,NYJ,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100.0,21,4,4,100.0,7
NORKK002,CAR,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
INDKK003,BAL,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100.0,42,0,0,N/A,3
NYGKK002,NOR,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
NYGKK004,NYG,2004,1,0,0,0,0,0,0,0,0,1,1,1,1,100.0,53,2,2,100.0,5
ATLKK001,SFO,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100.0,32,1,1,100.0,7
STLKK001,STL,2004,1,0,0,2,2,0,0,0,0,1,1,3,3,100.0,50,0,0,N/A,9
SFOKK003,CLE,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100.0,37,2,2,100.0,8
BALKK002,BAL,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
WASKK005,WAS,2004,1,0,0,1,1,2,2,0,0,0,1,3,4,75.0,34,1,1,100.0,10
MINKK002,GNB,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100.0,41,3,3,100.0,6
INDKK002,NWE,2004,1,0,0,0,0,1,1,1,1,0,0,2,2,100.0,43,3,3,100.0,9
CHIKK001,MIA,2004,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,1,1,100.0,1
ATLKK004,MIN,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,5,5,100.0,5
HOUKK002,ARI,2004,2,0,0,0,0,0,0,0,0,2,3,2,3,66.7,52,0,0,N/A,6
MINKK001,CHI,2004,2,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,3,3,100.0,3
TAMKK001,BUF,2004,2,0,0,0,0,1,1,0,0,0,0,1,1,100.0,32,1,1,100.0,4
OAKKK001,OAK,2004,2,0,0,1,1,1,1,0,0,0,0,2,2,100.0,33,1,1,100.0,7
SDGKK001,HOU,2004,2,0,0,0,0,1,1,0,0,0,0,1,1,100.0,34,1,1,100.0,4
DETKK001,PHI,2004,2,0,0,0,0,1,1,1,1,0,0,2,2,100.0,47,3,3,100.0,9
NORKK003,TAM,2004,2,0,0,2,2,0,0,0,0,0,0,2,2,100.0,27,0,0,N/A,6
ARIKK001,ATL,2004,2,0,0,1,1,1,1,0,0,0,0,2,2,100.0,35,4,4,100.0,10
NORKK004,CIN,2004,2,0,0,0,0,2,3,1,1,0,0,3,4,75.0,48,1,1,100.0,10
MIAKK001,SDG,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
JACKK001,JAC,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
NYGKK001,KAN,2004,2,0,0,0,0,1,1,0,1,0,0,1,2,50.0,33,2,2,100.0,5
BALKK003,MIN,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
NYGKK003,SEA,2004,2,0,0,0,0,0,0,1,1,0,0,1,1,100.0,44,1,1,100.0,4
WASKK004,DAL,2004,2,0,0,0,0,1,1,0,1,0,0,1,2,50.0,30,2,2,100.0,5
SFOKK001,PIT,2004,2,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,1,1,100.0,1
DALKK003,IND,2004,2,0,0,1,1,0,0,0,0,0,0,1,1,100.0,28,4,4,100.0,7
BALKK002,BAL,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
NORKK002,CAR,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
