# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
ARILB0751,SFO,2001,1,4,1,5,0.0,0,0,0,0,0,0
SFOLB0599,CAR,2001,1,1,2,3,0.0,0,0,0,0,0,0
WASLB0438,CHI,2001,1,5,0,5,0.0,0,0,0,0,0,1
DALLB0399,DAL,2001,1,5,3,8,0.0,0,0,0,0,0,1
STLLB0594,KAN,2001,1,1,0,1,0.0,0,0,0,0,0,0
ATLLB1071,IND,2001,1,5,5,10,0.0,0,0,0,0,0,0
ARILB0934,PIT,2001,1,8,0,8,0.0,0,0,0,0,0,0
NWELB0896,CHI,2001,1,4,0,4,0.0,0,0,0,0,0,0
MINLB0399,BUF,2001,1,3,1,4,0.0,0,0,0,0,0,0
JACLB0168,JAC,2001,1,2,0,2,0.0,0,0,0,0,0,0
NYGLB0458,WAS,2001,1,7,3,10,0.0,0,0,0,0,0,0
CHILB0883,CHI,2001,1,5,2,7,0.0,0,0,0,0,0,0
CLELB0454,SDG,2001,1,7,1,8,1.0,2,0,0,0,1,0
INDLB0177,IND,2001,1,1,0,1,0.0,0,0,0,0,0,0
DETLB0391,CLE,2001,1,3,0,3,0.0,0,0,0,0,1,0
NYGLB0380,BUF,2001,1,2,2,4,0.0,0,0,0,0,0,0
NYJLB0543,PHI,2001,1,1,0,1,0.0,0,0,0,0,0,0
DENLB0414,DEN,2001,1,4,2,6,0.0,0,0,0,0,0,0
ATLLB0562,PHI,2001,1,1,0,1,0.0,0,0,0,0,0,0
BUFLB0797,ATL,2001,1,7,3,10,0.0,0,0,0,0,0,0
DALLB0400,NYJ,2001,1,2,0,2,0.0,0,0,0,0,0,0
CLELB0185,DAL,2001,1,4,3,7,0.0,0,0,0,0,0,0
JACLB0385,TEN,2001,1,2,1,3,0.0,0,0,0,0,0,0
HOULB0452,MIN,2001,1,4,1,5,0.0,0,0,0,0,0,0
HOULB0527,WAS,2001,1,2,0,2,0.0,0,0,0,0,0,0
DETLB0390,GNB,2001,1,8,0,8,0.0,0,0,0,0,0,2
PHILB0817,PHI,2001,1,4,1,5,0.0,0,0,0,0,0,2
CINLB0218,CIN,2001,1,1,0,1,1.0,6,0,0,0,0,0
NYGLB0461,DET,2001,1,5,3,8,0.0,0,0,0,0,0,0
WASLB1101,STL,2001,1,5,2,7,1.0,6,0,0,0,0,0
ATLLB0379,TAM,2001,1,1,0,1,0.0,0,0,0,0,0,0
SDGLB0424,CIN,2001,1,1,4,5,0.0,0,0,0,0,0,0
CARLB0158,BAL,2001,1,2,0,2,0.0,0,0,0,0,0,0
ARILB1112,NYJ,2001,1,5,0,5,1.0,9,0,0,0,0,0
INDLB0768,IND,2001,1,7,2,9,0.0,0,0,0,0,0,0
ARILB0435,OAK,2001,1,1,0,1,0.0,0,0,0,0,0,0
JACLB0317,MIA,2001,1,1,0,1,0.0,0,0,0,0,0,0
CARLB0563,CAR,2001,1,2,5,7,0.0,0,0,0,0,0,0
GNBLB0086,KAN,2001,1,1,0,1,0.0,0,0,0,0,0,0
JACLB0162,JAC,2001,1,1,0,1,0.0,0,0,0,0,0,0
KANLB0391,BUF,2001,1,2,0,2,0.0,0,0,0,0,0,0
NYJLB0547,BUF,2001,1,5,2,7,0.0,0,0,0,0,0,0
NORLB0423,NOR,2001,1,4,1,5,0.0,0,0,0,0,0,0
KANLB0849,KAN,2001,1,1,0,1,0.0,0,0,0,0,0,0
WASLB0071,WAS,2001,1,1,0,1,0.0,0,0,0,0,0,0
NYJLB0215,NYJ,2001,1,2,0,2,0.0,0,0,0,0,0,0
NYJLB0103,NYJ,2001,1,1,0,1,0.0,0,0,0,0,0,0
STLLB0137,STL,2001,1,3,0,3,0.0,0,0,0,0,0,0
NWELB0100,NWE,2001,1,0,1,1,0.0,0,0,0,0,0,0
DALLB0635,SDG,2001,1,1,0,1,0.0,0,0,0,0,0,0
DALLB0217,DAL,2001,1,1,0,1,0.0,0,0,0,0,0,0
HOULB0451,BUF,2001,1,1,1,2,0.0,0,0,0,0,0,0
MIALB0364,CAR,2001,1,2,2,4,0.0,0,0,0,0,0,0
KANLB0953,ATL,2001,1,1,0,1,0.0,0,0,0,0,0,0
SFOLB0791,SFO,2001,1,7,0,7,0.0,0,0,0,0,0,0
DENLB0584,TAM,2001,1,1,0,1,0.0,0,0,0,0,0,2
WASLB0620,IND,2001,1,7,1,8,1.0,7,0,0,0,0,0
NYGLB0382,DET,2001,1,3,0,3,0.0,0,0,0,0,0,0
NYGLB0767,TEN,2001,1,2,1,3,0.0,0,0,0,0,0,0
DENLB0500,DEN,2001,1,3,0,3,1.0,2,0,0,0,0,0
SFOLB0505,JAC,2001,1,1,0,1,0.0,0,0,0,0,0,0
SDGLB0948,GNB,2001,1,1,0,1,0.0,0,0,0,0,0,1
NWELB0988,BAL,2001,1,1,0,1,0.0,0,0,0,0,0,0
WASLB0234,DAL,2001,1,2,1,3,0.0,0,0,0,0,0,0
HOULB0368,TEN,2001,1,1,0,1,0.0,0,0,0,0,0,0
SFOLB1074,PIT,2001,1,1,0,1,0.0,0,0,0,0,0,0
NYGLB0459,NYG,2001,1,1,0,1,0.0,0,0,0,0,0,0
SEALB0177,SEA,2001,1,1,1,2,0.0,0,0,0,0,0,0
MINLB0400,BUF,2001,1,0,2,2,0.0,0,0,0,0,0,0
NORLB0612,CIN,2001,1,1,3,4,0.0,0,0,0,0,0,1
MINLB0140,MIN,2001,1,1,1,2,0.0,0,0,0,0,0,0
DETLB0063,DET,2001,1,3,0,3,0.0,0,0,0,0,0,0
CLELB0090,CLE,2001,1,5,0,5,2.0,8,0,0,0,0,1
CLELB0273,CLE,2001,1,2,1,3,0.0,0,0,0,0,0,0
NORLB0232,NOR,2001,1,1,0,1,0.0,0,0,0,0,0,0
WASLB0230,NYG,2001,1,4,1,5,0.0,0,0,0,0,0,0
NYGLB0234,NYG,2001,1,6,2,8,0.0,0,0,0,0,0,0
ATLLB0179,GNB,2001,1,1,0,1,0.0,0,0,0,0,0,0
WASLB0231,WAS,2001,1,8,2,10,0.0,0,0,0,0,1,0
BALLB0190,GNB,2001,1,6,2,8,0.0,0,0,0,0,0,0
ATLLB0178,SDG,2001,1,2,0,2,0.0,0,0,0,0,0,0
CINLB0295,JAC,2001,1,10,1,11,2.0,12,0,0,0,0,1
DETLB0064,DET,2001,1,4,2,6,1.0,0,0,0,0,0,0
INDLB0078,IND,2001,1,1,1,2,0.0,0,0,0,0,0,0
TAMLB0619,TAM,2001,1,1,0,1,0.0,0,0,0,0,0,1
CARLB0301,STL,2001,1,5,0,5,0.0,0,0,0,0,0,2
MINLB0226,OAK,2001,1,4,1,5,0.0,0,0,0,0,0,0
KANLB0194,KAN,2001,1,5,1,6,0.0,0,0,0,0,0,0
NWELB0447,NWE,2001,1,4,2,6,0.0,0,0,0,0,0,0
OAKLB0263,DEN,2001,1,4,0,4,1.0,3,0,0,0,0,1
NORLB0155,NWE,2001,1,6,1,7,0.0,0,0,0,0,0,1
GNBLB0162,JAC,2001,1,9,1,10,0.0,0,1,2,0,1,2
NWELB0990,SDG,2001,1,5,1,6,0.0,0,0,0,0,0,1
NYJLB0332,NYJ,2001,1,4,4,8,0.0,0,0,0,0,0,0
KANLB0193,KAN,2001,1,7,1,8,1.0,7,0,0,0,1,0
SDGLB0087,SDG,2001,1,2,0,2,0.0,0,0,0,0,0,1
OAKLB0085,OAK,2001,1,3,0,3,0.0,0,0,0,0,0,0
NYJLB0329,NYJ,2001,1,8,4,12,0.0,0,1,18,0,0,1
CARLB0077,CAR,2001,1,6,1,7,0.0,0,0,0,0,0,0
CARLB0226,PHI,2001,1,8,3,11,1.0,11,0,0,0,0,0
NWELB0795,SEA,2001,1,8,0,8,2.0,15,0,0,0,0,0
PHILB0158,SEA,2001,1,5,0,5,0.0,0,0,0,0,0,1
MINLB0069,MIN,2001,1,6,4,10,0.5,6,0,0,0,1,0
BALLB1286,BAL,2001,1,6,2,8,0.0,0,1,21,0,0,2
WASLB0523,TEN,2001,1,7,0,7,0.0,0,0,0,0,0,0
DALLB0486,TAM,2001,1,1,0,1,0.0,0,0,0,0,0,0
CLELB0094,CLE,2001,1,1,0,1,0.0,0,0,0,0,0,0
ATLLB0279,MIA,2001,1,2,2,4,0.0,0,0,0,0,0,0
CINLB0138,CIN,2001,1,0,1,1,0.0,0,0,0,0,0,0
SDGLB0702,SFO,2001,1,9,3,12,0.0,0,0,0,0,0,0
NORLB0326,MIA,2001,1,2,1,3,0.0,0,0,0,0,0,1
KANLB0954,NWE,2001,1,0,1,1,0.0,0,0,0,0,0,1
TAMLB0464,TAM,2001,1,2,0,2,0.0,0,0,0,0,0,0
MINLB0225,ATL,2001,1,2,0,2,0.0,0,0,0,0,0,1
DENLB0930,ATL,2001,1,11,2,13,1.0,6,0,0,0,0,0
SDGLB1051,CIN,2001,1,3,3,6,1.0,7,0,0,0,0,0
SEALB0379,SEA,2001,1,9,0,9,0.0,0,0,0,0,0,0
ATLLB0475,ATL,2001,1,2,2,4,0.0,0,0,0,0,0,0
SEALB0181,SEA,2001,1,1,0,1,0.0,0,0,0,0,0,0
HOULB0186,NOR,2001,1,4,0,4,1.0,10,0,0,0,0,1
JACLB0232,NOR,2001,1,8,1,9,0.0,0,0,0,0,0,0
STLLB0434,DAL,2001,1,0,1,1,0.0,0,0,0,0,0,0
ARILB0519,NYJ,2001,1,1,2,3,0.0,0,0,0,0,0,0
DETLB0392,PIT,2001,1,6,1,7,0.0,0,0,0,0,0,0
SEALB0179,SFO,2001,1,3,1,4,0.0,0,0,0,0,0,0
NYJLB0916,NWE,2001,1,0,1,1,0.0,0,0,0,0,0,0
KANLB0739,KAN,2001,1,10,2,12,0.0,0,0,0,0,0,0
DENLB0221,DEN,2001,1,6,1,7,0.0,0,0,0,0,0,1
DALLB0636,MIA,2001,1,4,5,9,0.0,0,1,34,1,0,2
NWELB0895,NWE,2001,1,4,2,6,0.0,0,0,0,0,1,0
MIALB0142,MIA,2001,1,0,1,1,0.0,0,0,0,0,0,0
NYGLB0460,PHI,2001,1,6,0,6,0.0,0,0,0,0,0,0
TAMLB0233,CLE,2001,1,6,0,6,0.0,0,0,0,0,0,0
