# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
PITNT0213,PIT,2001,3,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,4,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,6,1,1,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,7,1,1,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,8,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,9,2,2,4,1.0,6,0,0,0,0,0
PITNT0213,PIT,2001,10,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,12,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,14,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,15,0,4,4,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,16,0,2,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2001,17,0,1,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,1,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,1,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,2,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,2,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,4,2,4,6,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,5,4,1,5,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,6,2,0,2,1.0,4,0,0,0,0,0
PITNT0213,PIT,2002,7,0,4,4,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,8,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,9,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,9,1,0,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,10,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,10,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,11,1,1,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,11,1,1,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,12,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,12,2,1,3,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,13,2,1,3,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,14,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2002,15,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2002,15,2,1,3,1.0,8,0,0,0,0,0
PITNT0213,PIT,2002,16,3,0,3,1.0,5,0,0,0,2,0
BALNT0108,BAL,2002,17,2,0,2,1.0,2,0,0,0,0,0
PITNT0213,PIT,2002,17,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,1,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,2,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,2,3,0,3,1.0,1,0,0,0,0,0
PITNT0213,PIT,2003,3,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,4,2,1,3,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,5,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,6,2,1,3,0.0,0,0,0,0,0,1
PITNT0213,PIT,2003,8,1,0,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,9,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,9,3,0,3,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,10,3,1,4,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,11,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,11,2,2,4,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,12,2,0,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,13,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,13,0,3,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,14,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2003,15,3,1,4,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,16,4,0,4,1.0,7,0,0,0,0,0
PITNT0213,PIT,2003,16,0,2,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2003,17,0,0,0,0.0,0,0,0,0,0,1
PITNT0213,PIT,2003,17,2,0,2,0.0,0,0,0,0,0,1
BALNT0108,BAL,2004,1,0,1,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,1,1,1,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,2,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,2,3,2,5,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,3,2,2,4,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,3,1,2,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,4,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,4,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,5,0,2,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2004,6,1,0,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,7,0,1,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,9,2,0,2,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,9,0,1,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,10,1,1,2,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,10,3,1,4,1.0,6,0,0,0,0,0
BALNT0108,BAL,2004,11,3,0,3,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,11,1,1,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,12,2,0,2,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,12,1,2,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,13,4,0,4,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,13,3,2,5,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,14,2,2,4,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,15,1,1,2,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,16,2,2,4,0.0,0,0,0,0,0,0
PITNT0180,PIT,2004,16,2,1,3,0.0,0,0,0,0,0,0
BALNT0108,BAL,2004,17,0,1,1,0.0,0,0,0,0,0,0
HOUNT0083,DET,2005,1,1,0,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2005,1,0,1,1,0.0,0,0,0,0,0,0
PITNT0180,PIT,2005,1,1,1,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2005,1,1,0,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2005,2,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2005,2,3,0,3,0.0,0,0,0,0,0,0
PITNT0213,PIT,2005,3,1,3,4,0.0,0,0,0,0,0,0
HOUNT0083,DET,2005,4,0,1,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2005,4,1,1,2,0.0,0,0,0,0,0,0
HOUNT0083,DET,2005,5,0,1,1,0.0,0,0,0,0,0,0
BALNT0108,BAL,2005,5,1,0,1,0.0,0,0,0,0,0,0
PITNT0213,PIT,2005,5,1,2,3,0.0,0,0,0,0,0,0
HOUNT0083,DET,2005,6,1,2,3,1.5,15,0,0,0,0,0
BALNT0108,BAL,2005,6,2,0,2,0.0,0,0,0,0,0,0
PITNT0213,PIT,2005,6,2,2,4,0.0,0,0,0,0,0,0
