# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
NWERB012,PIT,2001,1,9,60,6.7,18,0,2,N/A,14,7.0,7,0,0,0
MIARB015,MIA,2001,1,1,2,2.0,2,0,1,N/A,4,4.0,4,0,0,0
BALRB018,NOR,2001,1,18,93,5.2,21,0,1,N/A,19,19.0,19,1,0,0
SEARB004,IND,2001,1,28,135,4.8,29,2,2,N/A,13,6.5,7,0,0,0
PHIRB003,PHI,2001,1,0,0,N/A,N/A,0,6,N/A,40,6.7,10,2,0,0
HOURB001,JAC,2001,1,1,-2,-2.0,-2,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB003,NWE,2001,1,3,12,4.0,7,0,3,N/A,24,8.0,14,0,0,0
WASRB010,STL,2001,1,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
WASRB016,SEA,2001,1,4,3,0.8,8,0,0,N/A,0,N/A,N/A,0,0,0
HOURB023,NYG,2001,1,6,30,5.0,12,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB006,BAL,2001,1,2,2,1.0,2,0,2,N/A,13,6.5,15,0,0,0
TAMRB007,NYG,2001,1,0,0,N/A,N/A,0,2,N/A,13,6.5,9,0,0,0
JACRB016,PIT,2001,1,0,0,N/A,N/A,0,1,N/A,7,7.0,7,0,0,0
HOURB003,GNB,2001,1,17,157,9.2,83,2,3,N/A,20,6.7,24,0,1,1
NWERB005,JAC,2001,1,24,96,4.0,24,0,1,N/A,2,2.0,2,0,0,0
HOURB005,CHI,2001,1,21,43,2.0,8,0,8,N/A,32,4.0,9,0,1,0
SFORB008,SFO,2001,1,3,7,2.3,5,0,0,N/A,0,N/A,N/A,0,0,0
PHIRB011,OAK,2001,1,0,0,N/A,N/A,0,2,N/A,25,12.5,15,1,0,0
DALRB001,DAL,2001,1,2,28,14.0,24,0,0,N/A,0,N/A,N/A,0,0,0
KANRB010,KAN,2001,1,0,0,N/A,N/A,0,1,N/A,9,9.0,9,0,0,0
WASRB008,CLE,2001,1,0,0,N/A,N/A,0,1,N/A,2,2.0,2,0,0,0
MINRB009,MIN,2001,1,3,15,5.0,8,0,1,N/A,-3,-3.0,-3,0,0,0
DETRB011,NOR,2001,1,2,4,2.0,3,0,1,N/A,10,10.0,10,0,0,0
ARIRB003,CLE,2001,1,14,37,2.6,6,0,0,N/A,0,N/A,N/A,0,0,0
DENRB001,BUF,2001,1,22,58,2.6,14,0,1,N/A,4,4.0,4,0,0,0
DENRB016,NYJ,2001,1,3,17,5.7,9,0,0,N/A,0,N/A,N/A,0,0,0
BUFRB006,CHI,2001,1,3,9,3.0,5,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB017,SFO,2001,1,5,9,1.8,3,0,2,N/A,4,2.0,4,0,0,0
HOURB024,TAM,2001,1,0,0,N/A,N/A,0,1,N/A,4,4.0,4,0,0,0
CARRB004,CAR,2001,1,25,86,3.4,15,0,0,N/A,0,N/A,N/A,0,1,0
DALRB019,STL,2001,1,0,0,N/A,N/A,0,0,N/A,0,N/A,N/A,0,1,0
BALRB013,BAL,2001,1,1,8,8.0,8,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB005,MIN,2001,1,11,37,3.4,7,0,2,N/A,18,9.0,12,0,0,0
