# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
SEATE011,SEA,2001,1,2,N/A,21,10.5,19,0,0,0,N/A,N/A,0,0,0
MINTE007,MIN,2001,1,3,N/A,22,7.3,14,0,0,0,N/A,N/A,0,1,1
CHITE006,DEN,2001,1,2,N/A,55,27.5,39,0,0,0,N/A,N/A,0,0,0
STLTE012,OAK,2001,1,3,N/A,42,14.0,15,0,0,0,N/A,N/A,0,0,0
DETTE008,KAN,2001,1,2,N/A,26,13.0,14,0,0,0,N/A,N/A,0,0,0
DENTE009,DEN,2001,1,1,N/A,1,1.0,1,1,2,0,0.0,0,0,0,0
STLTE007,NOR,2001,1,2,N/A,14,7.0,12,1,0,0,N/A,N/A,0,0,0
DENTE006,WAS,2001,1,2,N/A,23,11.5,14,0,0,0,N/A,N/A,0,0,0
SFOTE008,SFO,2001,1,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
NYJTE007,GNB,2001,1,4,N/A,45,11.3,21,1,0,0,N/A,N/A,0,0,0
BUFTE016,GNB,2001,1,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
NORTE004,SFO,2001,1,4,N/A,34,8.5,16,0,0,0,N/A,N/A,0,0,0
HOUTE007,NYG,2001,1,1,N/A,1,1.0,1,1,0,0,N/A,N/A,0,0,0
ARITE006,BAL,2001,1,5,N/A,57,11.4,24,0,0,0,N/A,N/A,0,0,0
MINTE002,NWE,2001,1,3,N/A,24,8.0,12,1,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,1,4,N/A,58,14.5,24,0,0,0,N/A,N/A,0,0,0
TENTE011,TEN,2001,1,3,N/A,35,11.7,18,1,0,0,N/A,N/A,0,0,0
NORTE017,NOR,2001,1,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
PHITE007,PHI,2001,1,5,N/A,45,9.0,14,0,0,0,N/A,N/A,0,1,1
JACTE007,JAC,2001,1,2,N/A,23,11.5,22,1,0,0,N/A,N/A,0,0,0
TAMTE007,IND,2001,1,2,N/A,28,14.0,21,0,0,0,N/A,N/A,0,0,0
NWETE002,JAC,2001,1,3,N/A,39,13.0,19,0,0,0,N/A,N/A,0,0,0
HOUTE002,PIT,2001,1,2,N/A,4,2.0,3,0,0,0,N/A,N/A,0,0,0
TENTE009,TEN,2001,1,2,N/A,15,7.5,9,0,0,0,N/A,N/A,0,0,0
CHITE004,CHI,2001,1,2,N/A,4,2.0,3,0,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,1,4,N/A,34,8.5,13,0,0,0,N/A,N/A,0,0,0
DALTE003,CIN,2001,1,1,N/A,25,25.0,25,1,0,0,N/A,N/A,0,0,0
DALTE009,STL,2001,1,2,N/A,26,13.0,20,0,0,0,N/A,N/A,0,0,0
NORTE009,DET,2001,1,2,N/A,37,18.5,27,0,0,0,N/A,N/A,0,0,0
SEATE007,IND,2001,1,3,N/A,31,10.3,19,1,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,1,2,N/A,16,8.0,12,0,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,1,1,N/A,16,16.0,16,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,1,5,N/A,81,16.2,23,0,0,0,N/A,N/A,0,0,0
KANTE005,KAN,2001,1,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
TAMTE004,CLE,2001,1,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
WASTE010,MIN,2001,1,7,N/A,83,11.9,27,0,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,1,5,N/A,49,9.8,18,1,1,4,4.0,4,0,0,0
GNBTE009,CAR,2001,1,3,N/A,74,24.7,25,0,0,0,N/A,N/A,0,0,0
CLETE010,SDG,2001,2,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
