# Receiving,Kickoff Returns,Punt Returns,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,KR,Yds,Avg,Long,TD,PR,Yds,Avg,Long,TD,Fum,FumL
ATLWR019,NOR,2001,1,6,N/A,45,7.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR014,JAC,2001,1,0,N/A,0,N/A,N/A,0,1,17,17.0,17,0,3,41,13.7,19,0,1,0
BALWR012,MIA,2001,1,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,5,5.0,5,0,1,1
SDGWR015,PIT,2001,1,3,N/A,20,6.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR011,GNB,2001,1,2,N/A,20,10.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR006,CAR,2001,1,1,N/A,31,31.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR029,STL,2001,1,7,N/A,85,12.1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR005,CHI,2001,1,9,N/A,49,5.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR007,BUF,2001,1,1,N/A,32,32.0,32,0,0,0,N/A,N/A,0,3,10,3.3,9,0,0,0
DETWR016,CLE,2001,1,4,N/A,51,12.8,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR026,PIT,2001,1,1,N/A,17,17.0,17,0,2,46,23.0,31,0,0,0,N/A,N/A,0,0,0
OAKWR019,SDG,2001,1,2,N/A,31,15.5,17,0,0,0,N/A,N/A,0,4,102,25.5,84,1,0,0
PITWR012,PIT,2001,1,7,N/A,82,11.7,34,0,0,0,0,0,0,0,0,0,0,0,1,1
CARWR020,TEN,2001,1,4,N/A,51,12.8,18,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR010,MIN,2001,1,5,N/A,44,8.8,13,1,0,0,0,0,0,0,0,0,0,0,0,0
NORWR007,NOR,2001,1,2,N/A,15,7.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR011,NWE,2001,1,3,N/A,47,15.7,32,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR011,TAM,2001,1,8,N/A,75,9.4,25,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR017,IND,2001,1,8,N/A,93,11.6,21,1,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR010,BAL,2001,1,2,N/A,22,11.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR009,STL,2001,1,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,3,16,5.3,13,0,1,0
CLEWR022,NYG,2001,1,5,N/A,76,15.2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR001,BAL,2001,1,1,N/A,25,25.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR006,CAR,2001,1,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR002,PHI,2001,1,2,N/A,36,18.0,18,0,0,0,N/A,N/A,0,1,11,11.0,11,0,0,0
GNBWR013,SEA,2001,1,3,N/A,44,14.7,22,0,0,0,0,0,0,0,0,0,0,0,1,0
CHIWR004,CHI,2001,1,2,N/A,9,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR015,NYG,2001,1,1,N/A,20,20.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR017,SEA,2001,1,2,N/A,15,7.5,11,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
KANWR023,WAS,2001,1,5,N/A,37,7.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR023,CLE,2001,1,3,N/A,46,15.3,31,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR004,NOR,2001,1,0,N/A,0,N/A,N/A,0,2,55,27.5,38,0,2,9,4.5,6,0,2,0
KANWR012,KAN,2001,1,1,N/A,30,30.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR023,CAR,2001,1,1,N/A,16,16.0,16,0,3,134,44.7,93,1,3,25,8.3,20,0,0,0
KANWR015,MIA,2001,1,2,N/A,52,26.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR020,SEA,2001,1,5,N/A,17,3.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR005,CLE,2001,1,5,N/A,46,9.2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR004,CIN,2001,1,7,N/A,38,5.4,9,0,0,0,N/A,N/A,0,1,4,4.0,4,0,0,0
BUFWR011,BUF,2001,1,4,N/A,36,9.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR013,IND,2001,1,3,N/A,31,10.3,12,0,2,59,29.5,34,0,4,105,26.3,78,1,1,1
DETWR020,SFO,2001,1,3,N/A,81,27.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR023,PIT,2001,1,2,N/A,24,12.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR001,PHI,2001,1,7,N/A,99,14.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR002,NYJ,2001,1,1,N/A,38,38.0,38,1,3,57,19.0,25,0,0,0,N/A,N/A,0,0,0
NYGWR016,NYG,2001,1,1,N/A,19,19.0,19,0,4,89,22.3,27,0,0,0,N/A,N/A,0,0,0
ATLWR012,CHI,2001,1,3,N/A,44,14.7,20,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR009,CIN,2001,1,1,N/A,5,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR010,PHI,2001,1,1,N/A,11,11.0,11,0,1,27,27.0,27,0,0,0,N/A,N/A,0,0,0
SFOWR003,MIN,2001,1,1,N/A,28,28.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR004,DAL,2001,1,0,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR015,NWE,2001,1,7,N/A,106,15.1,31,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
SFOWR001,SDG,2001,1,3,N/A,36,12.0,24,0,0,0,0,0,0,0,0,0,0,0,1,1
INDWR015,BAL,2001,1,6,N/A,88,14.7,35,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR017,CIN,2001,1,5,N/A,104,20.8,34,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR014,NWE,2001,1,1,N/A,4,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR007,NWE,2001,1,4,N/A,25,6.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR017,GNB,2001,1,4,N/A,104,26.0,35,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR021,DET,2001,1,5,N/A,111,22.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR010,NOR,2001,1,3,N/A,89,29.7,46,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR023,DET,2001,1,3,N/A,22,7.3,13,0,5,127,25.4,33,0,2,43,21.5,30,0,0,0
JACWR014,JAC,2001,1,8,N/A,126,15.8,34,2,0,0,0,0,0,0,0,0,0,0,0,0
INDWR001,STL,2001,1,1,N/A,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR018,ATL,2001,1,4,N/A,66,16.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR003,OAK,2001,1,8,N/A,133,16.6,33,1,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR009,OAK,2001,1,8,N/A,87,10.9,23,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR008,ATL,2001,1,3,N/A,26,8.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR024,DET,2001,1,2,N/A,41,20.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR012,JAC,2001,1,1,N/A,8,8.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR013,ATL,2001,1,1,N/A,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR004,MIN,2001,1,1,N/A,26,26.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR004,DEN,2001,1,6,N/A,94,15.7,28,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR006,STL,2001,1,4,N/A,89,22.3,27,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR004,NOR,2001,1,2,N/A,12,6.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
