STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_Pct,K_Lng,K_XPM,K_XPA,K_Pct,K_Pts
MINKK0047,CHI,2004,1,0,0,0,1,0,0,0,0,0,0,0,1,0,N/A,2,2,100,2
TAMKK0159,BUF,2004,1,0,0,1,1,0,0,0,1,0,0,1,2,50,25,1,1,100,4
ARIKK0164,ATL,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
HOUKK0128,ARI,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100,22,1,1,100,4
OAKKK0160,OAK,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100,38,1,1,100,7
NORKK0074,TAM,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100,47,1,1,100,4
SDGKK0106,HOU,2004,1,0,0,1,1,1,1,0,0,0,0,2,2,100,37,2,2,100,8
NORKK0165,CIN,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100,22,3,3,100,6
CLEKK0160,DAL,2004,1,0,0,1,1,0,0,0,0,0,0,1,1,100,27,2,2,100,5
JACKK0160,JAC,2004,1,0,0,2,2,0,0,0,0,0,0,2,2,100,27,1,1,100,7
NYGKK0145,KAN,2004,1,0,0,0,0,0,0,0,0,1,2,1,2,50,50,3,3,100,6
MIAKK0143,SDG,2004,1,0,0,1,1,0,0,1,1,0,0,2,2,100,48,3,3,100,9
BALKK0049,TEN,2004,1,0,0,1,1,0,1,0,0,0,0,1,2,50,22,2,2,100,5
SFOKK0111,PIT,2004,1,0,0,0,0,0,0,1,1,0,0,1,1,100,42,3,3,100,6
NYGKK0161,SEA,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
DETKK0160,PHI,2004,1,0,0,0,0,0,0,1,1,0,1,1,2,50,45,4,4,100,7
