STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
SEATE0126,SEA,2001,1,2,N/A,21,10.5,19,0,0,0,N/A,N/A,0,0,0
MINTE0282,MIN,2001,1,3,N/A,22,7.3,14,0,0,0,N/A,N/A,0,1,1
CHITE0210,DEN,2001,1,2,N/A,55,27.5,39,0,0,0,N/A,N/A,0,0,0
STLTE0090,OAK,2001,1,3,N/A,42,14,15,0,0,0,N/A,N/A,0,0,0
DETTE0060,KAN,2001,1,2,N/A,26,13,14,0,0,0,N/A,N/A,0,0,0
DENTE0086,DEN,2001,1,1,N/A,1,1,1,1,2,0,0,0,0,0,0
STLTE0099,NOR,2001,1,2,N/A,14,7,12,1,0,0,N/A,N/A,0,0,0
DENTE0133,WAS,2001,1,2,N/A,23,11.5,14,0,0,0,N/A,N/A,0,0,0
SFOTE0040,SFO,2001,1,1,N/A,6,6,6,0,0,0,N/A,N/A,0,0,0
NYJTE0151,GNB,2001,1,4,N/A,45,11.3,21,1,0,0,N/A,N/A,0,0,0
BUFTE0208,GNB,2001,1,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
ARILB0435,SFO,2001,1,4,N/A,34,8.5,16,0,0,0,N/A,N/A,0,0,0
HOUTE0068,NYG,2001,1,1,N/A,1,1,1,1,0,0,N/A,N/A,0,0,0
ARITE0213,BAL,2001,1,5,N/A,57,11.4,24,0,0,0,N/A,N/A,0,0,0
MINTE0163,NWE,2001,1,3,N/A,24,8,12,1,0,0,N/A,N/A,0,0,0
KANTE0271,NYJ,2001,1,4,N/A,58,14.5,24,0,0,0,N/A,N/A,0,0,0
TENTE0151,TEN,2001,1,3,N/A,35,11.7,18,1,0,0,N/A,N/A,0,0,0
NORTE0002,NOR,2001,1,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
PHITE0119,PHI,2001,1,5,N/A,45,9,14,0,0,0,N/A,N/A,0,1,1
JACTE0008,JAC,2001,1,2,N/A,23,11.5,22,1,0,0,N/A,N/A,0,0,0
TAMTE0097,IND,2001,1,2,N/A,28,14,21,0,0,0,N/A,N/A,0,0,0
NWETE0171,JAC,2001,1,3,N/A,39,13,19,0,0,0,N/A,N/A,0,0,0
HOUTE0096,PIT,2001,1,2,N/A,4,2,3,0,0,0,N/A,N/A,0,0,0
TENTE0085,TEN,2001,1,2,N/A,15,7.5,9,0,0,0,N/A,N/A,0,0,0
CHITE0030,CHI,2001,1,2,N/A,4,2,3,0,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,1,4,N/A,34,8.5,13,0,0,0,N/A,N/A,0,0,0
DALTE0044,CIN,2001,1,1,N/A,25,25,25,1,0,0,N/A,N/A,0,0,0
STLTE0092,STL,2001,1,2,N/A,26,13,20,0,0,0,N/A,N/A,0,0,0
NORTE0037,DET,2001,1,2,N/A,37,18.5,27,0,0,0,N/A,N/A,0,0,0
