STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,rec_Tgt,rec_Yds,rec_YPR,rec_Lng,rec_TD,KR,KR_Yds,KR_Avg,KR_Long,KR_TD,PR,PR_Yds,PR_Avg,PR_Long,PR_TD,Fum,FumLOST
ATLWR0356,NOR,2001,1,6,N/A,45,7.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0065,JAC,2001,1,0,N/A,0,N/A,N/A,0,1,17,17,17,0,3,41,13.7,19,0,1,0
BALWR0069,MIA,2001,1,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,5,5,5,0,1,1
SDGWR0193,PIT,2001,1,3,N/A,20,6.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0382,GNB,2001,1,2,N/A,20,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0109,CAR,2001,1,1,N/A,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR0455,STL,2001,1,7,N/A,85,12.1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0486,CHI,2001,1,9,N/A,49,5.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR0375,BUF,2001,1,1,N/A,32,32,32,0,0,0,N/A,N/A,0,3,10,3.3,9,0,0,0
DETWR0278,CLE,2001,1,4,N/A,51,12.8,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0291,PIT,2001,1,1,N/A,17,17,17,0,2,46,23,31,0,0,0,N/A,N/A,0,0,0
OAKWR0377,SDG,2001,1,2,N/A,31,15.5,17,0,0,0,N/A,N/A,0,4,102,25.5,84,1,0,0
PITWR0650,PIT,2001,1,7,N/A,82,11.7,34,0,0,0,0,0,0,0,0,0,0,0,1,1
CARWR0154,TEN,2001,1,4,N/A,51,12.8,18,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0129,MIN,2001,1,5,N/A,44,8.8,13,1,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0062,NOR,2001,1,2,N/A,15,7.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0471,NWE,2001,1,3,N/A,47,15.7,32,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR0101,TAM,2001,1,8,N/A,75,9.4,25,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0231,IND,2001,1,8,N/A,93,11.6,21,1,0,0,0,0,0,0,0,0,0,0,0,0
BALWR0652,BAL,2001,1,2,N/A,22,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0345,STL,2001,1,1,N/A,5,5,5,0,0,0,N/A,N/A,0,3,16,5.3,13,0,1,0
