#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,San Diego,L23-15,Plummer  229,Jones  73,Jenkins  70
4,Sun, Sep 29,New York,W21-7,Plummer  168,Shipp  92,Shipp  39
#6,BYE WEEK
7,Sun, Oct 20,Dallas,W9-6 OT,Plummer  232,Jones  68,Boston  110
9,Sun, Nov 3,St. Louis,L27-14,Plummer  193,Jones  25,Sanders  67
10,Sun, Nov 10,Seattle,L27-6,Plummer  226,Shipp  85,McAddley  113
12,Sun, Nov 24,Oakland,L41-20,Plummer  145,Shipp  135,Sanders  55
14,Sun, Dec 8,Detroit,W23-20 OT,Plummer  228,Shipp  85,Kasper  49
16,Sat, Dec 21,San Francisco,L17-14,Plummer  109,Shipp  84,Kasper  33
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 17,Green Bay,L29-21,Box Score
2,Sat, Aug 24,Denver,L19-13,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Seattle,L38-0,McCown  150,Smith  54,Johnson  68
3,Sun, Sep 21,Green Bay,W20-13,Blake  273,Smith  50,Boldin  99
6,Sun, Oct 12,Baltimore,L26-18,Blake  247,Shipp  61,Boldin  95
#7,BYE WEEK
8,Sun, Oct 26,San Francisco,W16-13 OT,Blake  97,Shipp  165,Boldin  29
9,Sun, Nov 2,Cincinnati,W17-14,Blake  166,Shipp  141,Boldin  51
12,Sun, Nov 23,St. Louis,L30-27 OT,Blake  195,Shipp  102,Boldin  123
15,Sun, Dec 14,Carolina,L20-17,McCown  172,Shipp  89,Boldin  73
17,Sun, Dec 28,Minnesota,W18-17,McCown  224,McCown  27,Poole  86
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Dallas,W13-0,Box Score
2,Fri, Aug 22,Chicago,W27-17,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,New England,L23-12,McCown  160,Smith  31,Jones  43
4,Sun, Oct 3,New Orleans,W34-10,McCown  157,Smith  127,Fitzgerald  61
#6,BYE WEEK
7,Sun, Oct 24,Seattle,W25-17,McCown  212,Smith  106,Fitzgerald  73
10,Sun, Nov 14,New York,W17-14,McCown  90,Smith  67,Johnson  32
12,Sun, Nov 28,New York,L13-3,King  119,Croom  25,Boldin  87
14,Sun, Dec 12,San Francisco,L31-28 OT,McCown  307,Smith  53,Boldin  109
15,Sun, Dec 19,St. Louis,W31-7,McCown  287,Smith  71,Johnson  69
17,Sun, Jan 2,Tampa Bay,W12-7,McCown  115,Smith  69,Fitzgerald  36
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 21,San Diego,L38-13,Box Score
2,Sat, Aug 28,Oakland,L17-16,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,St. Louis,L17-12,Warner  327,Shipp  54,Boldin  119
4,Sun, Oct 2,San Francisco,W31-14,McCown  385,Shipp  42,Boldin  116
5,Sun, Oct 9,Carolina,L24-20,McCown  398,McCown  29,Boldin  162
#6,BYE WEEK
7,Sun, Oct 23,Tennessee,W20-10,McCown  140,Arrington  30,Fitzgerald  71
9,Sun, Nov 6,Seattle,L33-19,Warner  334,Arrington  40,Fitzgerald  102
12,Sun, Nov 27,Jacksonville,L24-17,Warner  315,Arrington  39,Boldin  115
14,Sun, Dec 11,Washington,L17-13,Warner  255,Shipp  27,Boldin  114
16,Sat, Dec 24,Philadelphia,W27-21,McCown  294,Shipp  42,Fitzgerald  93
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 13,Dallas,W13-11,Box Score
