#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Chicago,L14-13,Vick  166,Vick  56,Finneran  76
3,Sun, Sep 22,Cincinnati,W30-3,Vick  174,Duckett  67,Finneran  77
#4,BYE WEEK
5,Sun, Oct 6,Tampa Bay,L20-6,Johnson  150,Duckett  52,Finneran  61
7,Sun, Oct 20,Carolina,W30-0,Vick  178,Vick  91,Jefferson Gaylor  38
9,Sun, Nov 3,Baltimore,W20-17,Vick  136,Duckett  75,Finneran  42
11,Sun, Nov 17,New Orleans,W24-17,Vick  160,Dunn  90,Gaylor  100
15,Sun, Dec 15,Seattle,L30-24 OT,Vick  240,Dunn  101,Crumpler  75
16,Sun, Dec 22,Detroit,W36-15,Vick  337,Dunn  132,McCord  182
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 9,Jacksonville,W23-13,Box Score
1,Sat, Aug 17,New York,W36-24,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Washington,L33-31,Johnson  197,Dunn  62,Farris  58
3,Sun, Sep 21,Tampa Bay,L31-10,Johnson  95,Dunn  7,Price  45
5,Sun, Oct 5,Minnesota,L39-26,Johnson  352,Duckett  69,Price  168
7,Sun, Oct 19,New Orleans,L45-17,Kittner  115,Dunn  82,Price  38
#8,BYE WEEK
9,Sun, Nov 2,Philadelphia,L23-16,Johnson  86,Dunn  68,Price  84
12,Sun, Nov 23,Tennessee,L38-31,Johnson  275,Dunn  30,Dunn  131
14,Sun, Dec 7,Carolina,W20-14 OT,Vick  179,Vick  141,Price Crumpler  57
17,Sun, Dec 28,Jacksonville,W21-14,Vick  180,Duckett  96,Price  74
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Green Bay,L27-21,Box Score
1,Sat, Aug 16,Baltimore,L13-10,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 15,St. Louis,W47-17,Vick  82,Dunn  142,Price Crumpler  22
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,St. Louis,W34-17,Vick  179,Vick  109,Griffith  78
3,Sun, Sep 26,Arizona,W6-3,Vick  115,Dunn  117,Crumpler  34
5,Sun, Oct 10,Detroit,L17-10,Vick  196,Dunn  44,Price  84
6,Sun, Oct 17,San Diego,W21-20,Vick  218,Duckett  45,Price  67
#9,BYE WEEK
10,Sun, Nov 14,Tampa Bay,W24-14,Vick  147,Dunn  76,Crumpler  118
12,Sun, Nov 28,New Orleans,W24-21,Vick  212,Vick  69,Crumpler  103
14,Sun, Dec 12,Oakland,W35-10,Vick  145,Dunn  103,White  34
15,Sat, Dec 18,Carolina,W34-31 OT,Vick  154,Dunn  134,White  71
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 20,Minnesota,W27-24,Box Score
2,Sat, Aug 28,Cincinnati,W37-10,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 12,Philadelphia,W14-10,Vick  156,Dunn  117,Jenkins  80
4,Sun, Oct 2,Minnesota,W30-10,Vick  49,Dunn  126,Finneran  31
5,Sun, Oct 9,New England,L31-28,Schaub  298,Dunn  83,Finneran  103
7,Mon, Oct 24,New York,W27-14,Vick  116,Dunn  155,Crumpler  66
#8,BYE WEEK
10,Sun, Nov 13,Green Bay,L33-25,Vick  209,Dunn  76,Dunn  52
11,Sun, Nov 20,Tampa Bay,L30-27,Vick  306,Dunn  82,White  108
14,Mon, Dec 12,New Orleans,W36-17,Vick  231,Dunn  73,Crumpler  94
17,Sun, Jan 1,Carolina,L44-11,Vick  115,Dunn  29,Jenkins  60
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Sat, Aug 6,Indianapolis,W27-21,Box Score
HOF,Sat, Aug 13,Baltimore,W16-3,Box Score
1,Fri, Aug 19,Tennessee,L24-21,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Tampa Bay,W14-3,Vick  92,Dunn  134,Crumpler Lelie  22
4,Sun, Oct 1,Arizona,W32-10,Vick  153,Norwood  106,Lelie  61
#5,BYE WEEK
6,Sun, Oct 15,New York,L27-14,Vick  154,Dunn  146,Crumpler  66
7,Sun, Oct 22,Pittsburgh,W41-38 OT,Vick  232,Dunn  69,Crumpler  117
10,Sun, Nov 12,Cleveland,L17-13,Vick  197,Vick  74,White  99
12,Sun, Nov 26,New Orleans,L31-13,Vick  84,Vick  166,Crumpler  43
15,Sat, Dec 16,Dallas,L38-28,Vick  237,Dunn Vick  56,White  104
16,Sun, Dec 24,Carolina,L10-3,Vick  109,Vick  32,Lelie  40
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 11,New England,W26-23,Box Score
3,Thu, Aug 31,Jacksonville,L20-17,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 23,Carolina,L27-20,Harrington  361,Dunn  55,White  127
4,Sun, Sep 30,Houston,W26-16,Harrington  223,Dunn  62,Jenkins White  64
6,Mon, Oct 15,New York,L31-10,Harrington  209,Norwood  87,White  64
#8,BYE WEEK
9,Sun, Nov 4,San Francisco,W20-16,Harrington  138,Dunn  100,White  55
11,Sun, Nov 18,Tampa Bay,L31-7,Harrington  139,Dunn  32,Jenkins  73
12,Thu, Nov 22,Indianapolis,L31-13,Harrington  155,Dunn  70,White  104
14,Mon, Dec 10,New Orleans,L34-14,Redman  298,Norwood  21,Jenkins  83
17,Sun, Dec 30,Seattle,W44-41,Redman  251,Dunn  70,Crumpler  67
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 27,Cincinnati,W24-19,Box Score
3,Fri, Aug 31,Baltimore,W13-10,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Detroit,W34-21,Ryan  161,Turner  220,Jenkins  62
3,Sun, Sep 21,Kansas City,W38-14,Ryan  192,Turner  104,White  119
6,Sun, Oct 12,Chicago,W22-20,Ryan  301,Turner  54,White  112
#7,BYE WEEK
10,Sun, Nov 9,New Orleans,W34-20,Ryan  248,Turner  96,Norwood  88
11,Sun, Nov 16,Denver,L24-20,Ryan  250,Turner  81,White  102
12,Sun, Nov 23,Carolina,W45-28,Ryan  259,Turner  117,Douglas  92
15,Sun, Dec 14,Tampa Bay,W13-10 OT,Ryan  206,Turner  152,White  61
17,Sun, Dec 28,St. Louis,W31-27,Ryan  160,Turner  208,Jenkins  72
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Indianapolis,L16-9,Box Score
3,Fri, Aug 22,Tennessee,W17-3,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Miami,W19-7,Ryan  229,Turner  65,Gonzalez  73
2,Sun, Sep 20,Carolina,W28-20,Ryan  220,Turner  105,Gonzalez  71
#4,BYE WEEK
6,Sun, Oct 18,Chicago,W21-14,Ryan  185,Turner  30,White  56
9,Sun, Nov 8,Washington,W31-17,Ryan  135,Turner  166,Gonzalez  41
12,Sun, Nov 29,Tampa Bay,W20-17,Redman  243,Turner  33,Gonzalez  83
13,Sun, Dec 6,Philadelphia,L34-7,Redman  235,Snelling  35,White  104
14,Sun, Dec 13,New Orleans,L26-23,Redman  303,Snelling  37,Jenkins  82
16,Sun, Dec 27,Buffalo,W31-3,Ryan  250,Snelling  68,White  139
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 29,San Diego,W27-24,Box Score
4,Thu, Sep 3,Baltimore,L20-3,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 15,Green Bay,L48-21,Ryan  186,Turner  39,Jenkins  67
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Arizona,W41-7,Ryan  225,Snelling  129,White  78
4,Sun, Oct 3,San Francisco,W16-14,Ryan  273,Turner  50,White  104
7,Sun, Oct 24,Cincinnati,W39-32,Ryan  299,Turner  121,White  201
#8,BYE WEEK
9,Sun, Nov 7,Tampa Bay,W27-21,Ryan  235,Turner  107,Gonzalez  72
10,Thu, Nov 11,Baltimore,W26-21,Ryan  316,Turner  39,White  138
12,Sun, Nov 28,Green Bay,W20-17,Ryan  197,Turner  110,Gonzalez  51
