#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Tampa Bay,L25-0,Redman  141,Lewis  53,Stokley  57
#3,BYE WEEK
4,Mon, Sep 30,Denver,W34-23,Redman  152,Lewis  83,Heap  84
7,Sun, Oct 20,Jacksonville,W17-10,Redman  152,Lewis  119,Taylor  42
8,Sun, Oct 27,Pittsburgh,L31-18,Blake  298,Lewis  34,Taylor  82
10,Sun, Nov 10,Cincinnati,W38-27,Blake  183,Lewis  135,Heap  65
12,Sun, Nov 24,Tennessee,W13-12,Blake  109,Lewis  95,Heap  42
14,Sun, Dec 8,New Orleans,L37-25,Blake  316,Lewis  48,Lewis  108
16,Sun, Dec 22,Cleveland,L14-13,Blake  143,Lewis  100,Heap  61
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 9,Detroit,W12-6,Box Score
1,Thu, Aug 15,New York,L34-16,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 3,Tennessee,L20-17,Wright  214,Lewis  35,Taylor  82
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Cleveland,W33-13,Boller  78,Lewis  295,Taylor  27
4,Sun, Sep 28,Kansas City,L17-10,Boller  140,Lewis  115,Heap  48
#5,BYE WEEK
8,Sun, Oct 26,Denver,W26-6,Boller  137,Lewis  134,Heap  54
9,Sun, Nov 2,Jacksonville,W24-17,Boller  156,Lewis  68,Taylor  64
12,Sun, Nov 23,Seattle,W44-41 OT,Wright  319,Lewis  117,Robinson  131
13,Sun, Nov 30,San Francisco,W44-6,Wright  177,Lewis  78,Robinson  71
14,Sun, Dec 7,Cincinnati,W31-13,Wright  145,Lewis  180,Taylor  77
17,Sun, Dec 28,Pittsburgh,W13-10 OT,Wright  163,Lewis  114,Robinson  102
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Buffalo,L20-19,Box Score
3,Thu, Aug 28,New York,L30-24,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Pittsburgh,W30-13,Boller  98,Taylor  76,Johnson  32
4,Mon, Oct 4,Kansas City,L27-24,Boller  154,Lewis  73,Hymes  68
#6,BYE WEEK
7,Sun, Oct 24,Buffalo,W20-6,Boller  86,Taylor  89,Taylor  52
9,Sun, Nov 7,Cleveland,W27-13,Boller  142,Lewis  81,Taylor  58
11,Sun, Nov 21,Dallas,W30-10,Boller  232,Taylor  33,Taylor  68
13,Sun, Dec 5,Cincinnati,L27-26,Boller  172,Taylor  139,Taylor  40
14,Sun, Dec 12,New York,W37-14,Boller  219,Taylor  104,Heap  76
17,Sun, Jan 2,Miami,W30-23,Boller  142,Lewis  167,Wilcox  72
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Thu, Aug 12,Atlanta,W24-0,Box Score
2,Sat, Aug 28,Detroit,W17-6,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Indianapolis,L24-7,Wright  214,Lewis  48,Mason  99
#3,BYE WEEK
4,Sun, Oct 2,New York,W13-3,Wright  144,Lewis  81,Mason  54
6,Sun, Oct 16,Cleveland,W16-3,Wright  213,Taylor  92,Mason  85
9,Sun, Nov 6,Cincinnati,L21-9,Wright  153,Lewis  49,Mason  60
11,Sun, Nov 20,Pittsburgh,W16-13 OT,Boller  163,Taylor  59,Clayton  43
13,Sun, Dec 4,Houston,W16-15,Boller  198,Taylor  40,Clayton  86
15,Mon, Dec 19,Green Bay,W48-3,Boller  253,Lewis  105,Heap  110
16,Sun, Dec 25,Minnesota,W30-23,Boller  289,Lewis  74,Mason  103
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 20,Philadelphia,L20-14,Box Score
3,Thu, Sep 1,Washington,W26-20 OT,Box Score
#2006 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 13,Indianapolis,L15-6,McNair  173,Lewis  53,Clayton  73
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Oakland,W28-6,McNair  143,Lewis  70,Mason  46
4,Sun, Oct 1,San Diego,W16-13,McNair  158,Lewis  34,Heap  60
6,Sun, Oct 15,Carolina,L23-21,Boller  226,Lewis  41,Clayton  101
#7,BYE WEEK
9,Sun, Nov 5,Cincinnati,W26-20,McNair  245,Lewis  72,Heap  84
11,Sun, Nov 19,Atlanta,W24-10,McNair  236,Lewis  91,Clayton  89
12,Sun, Nov 26,Pittsburgh,W27-0,McNair  140,Lewis  66,Heap  58
15,Sun, Dec 17,Cleveland,W27-17,Boller  238,Lewis  109,Williams  100
17,Sun, Dec 31,Buffalo,W19-7,McNair  216,Lewis  69,Heap  60
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 11,New York,L17-16,Box Score
1,Thu, Aug 17,Philadelphia,W20-10,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,New York,W20-13,Boller  185,McGahee  97,Heap  76
3,Sun, Sep 23,Arizona,W26-23,McNair  198,McGahee  98,Mason  79
