#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,New York,L37-31 OT,Bledsoe  271,Henry  149,Moulds  112
4,Sun, Sep 29,Chicago,W33-27 OT,Bledsoe  328,Henry  68,Moulds  124
5,Sun, Oct 6,Oakland,L49-31,Bledsoe  417,Henry  58,Price  126
8,Sun, Oct 27,Detroit,W24-17,Bledsoe  302,Henry  64,Moulds  123
9,Sun, Nov 3,New England,L38-7,Bledsoe  302,Henry  53,Price  98
#10,BYE WEEK
13,Sun, Dec 1,Miami,W38-21,Bledsoe  306,Henry  151,Moulds  130
15,Sun, Dec 15,San Diego,W20-13,Bledsoe  107,Henry  144,Moulds  61
17,Sun, Dec 29,Cincinnati,W27-9,Bledsoe  231,Henry  80,Moulds  75
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 9,Cincinnati,L24-17,Box Score
1,Fri, Aug 16,Minnesota,L24-21,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,New England,W31-0,Bledsoe  230,Henry  89,Moulds  81
4,Sun, Sep 28,Philadelphia,L23-13,Bledsoe  296,Burns  17,Moulds  114
5,Sun, Oct 5,Cincinnati,W22-16 OT,Bledsoe  211,Henry  85,Moulds  99
7,Sun, Oct 19,Washington,W24-7,Bledsoe  244,Henry  167,Reed  109
#9,BYE WEEK
11,Sun, Nov 16,Houston,L12-10,Bledsoe  184,Henry  149,Shaw  92
12,Sun, Nov 23,Indianapolis,L17-14,Bledsoe  135,Henry  77,Moulds  38
14,Sun, Dec 7,New York,W17-6,Bledsoe  72,Henry  169,Reed  30
16,Sun, Dec 21,Miami,L20-3,Bledsoe  114,Henry  67,Shaw  68
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 23,St. Louis,W28-24,Box Score
