#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Baltimore,W10-7,Peete  136,Smith  84,Walls Smith  38
2,Sun, Sep 15,Detroit,W31-7,Peete  310,Smith  60,Muhammad  107
5,Sun, Oct 6,Arizona,L16-13,Peete  196,Smith  49,Smith  79
8,Sun, Oct 27,Tampa Bay,L12-9,Fasani  46,Smith  82,Muhammad  31
#9,BYE WEEK
10,Sun, Nov 10,New Orleans,L34-24,Peete  310,Smith  80,Muhammad  112
12,Sun, Nov 24,Atlanta,L41-0,Peete  64,Brown  29,Hoover  46
14,Sun, Dec 8,Cincinnati,W52-31,Peete  319,Brown  45,Smith  144
16,Sun, Dec 22,Chicago,W24-14,Peete  179,Brown  55,Smith  97
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Washington,L37-30,Box Score
1,Sat, Aug 17,Dallas,L19-16,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 3,Dallas,W29-10,Delhomme  273,Davis  104,Smith  135
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Jacksonville,W24-23,Delhomme  122,Davis  111,Smith  44
#3,BYE WEEK
4,Sun, Sep 28,Atlanta,W23-3,Delhomme  168,Davis  153,Smith  47
5,Sun, Oct 5,New Orleans,W19-13,Delhomme  124,Davis  159,Muhammad  42
7,Sun, Oct 19,Tennessee,L37-17,Delhomme  365,Davis  25,Smith  151
10,Sun, Nov 9,Tampa Bay,W27-24,Delhomme  277,Foster  56,Proehl  133
11,Sun, Nov 16,Washington,W20-17,Delhomme  317,Davis  92,Muhammad  189
13,Sun, Nov 30,Philadelphia,L25-16,Delhomme  216,Davis  115,Smith  80
16,Sun, Dec 21,Detroit,W20-14,Delhomme  260,Foster  76,Smith  81
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Washington,W20-0,Box Score
3,Fri, Aug 29,Pittsburgh,W21-14,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 13,Green Bay,L24-14,Delhomme  284,Davis  26,Muhammad  65
#3,BYE WEEK
4,Sun, Oct 3,Atlanta,L27-10,Delhomme  308,Foster  51,Muhammad  114
7,Sun, Oct 24,San Diego,L17-6,Delhomme  155,Hoover  99,Colbert  71
9,Sun, Nov 7,Oakland,L27-24,Delhomme  299,Hoover  17,Muhammad  94
11,Sun, Nov 21,Arizona,W35-10,Delhomme  157,Goings  121,Muhammad  118
12,Sun, Nov 28,Tampa Bay,W21-14,Delhomme  213,Goings  106,Colbert  72
14,Sun, Dec 12,St. Louis,W20-7,Delhomme  206,Goings  108,Muhammad  98
17,Sun, Jan 2,New Orleans,L21-18,Delhomme  307,Goings  46,Muhammad  95
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 19,New York,W27-20,Box Score
2,Sat, Aug 28,New England,W20-17,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,New Orleans,L23-20,Delhomme  212,Davis  81,Smith  138
2,Sun, Sep 18,New England,W27-17,Delhomme  154,Davis  77,Proehl  63
4,Mon, Oct 3,Green Bay,W32-29,Delhomme  206,Davis  51,Foster  55
#7,BYE WEEK
8,Sun, Oct 30,Minnesota,W38-13,Delhomme  341,Foster  51,Smith  201
10,Sun, Nov 13,New York,W30-3,Delhomme  119,Davis  81,Foster  43
13,Sun, Dec 4,Atlanta,W24-6,Delhomme  164,Foster  131,Smith  65
14,Sun, Dec 11,Tampa Bay,L20-10,Delhomme  220,Foster  46,Smith  103
16,Sat, Dec 24,Dallas,L24-20,Delhomme  260,Foster  68,Proehl  104
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 13,Washington,W28-10,Box Score
3,Thu, Sep 1,Pittsburgh,L21-17,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 10,Atlanta,L20-6,Delhomme  186,Foster  54,Carter  62
4,Sun, Oct 1,New Orleans,W21-18,Delhomme  169,Foster  105,Smith  87
5,Sun, Oct 8,Cleveland,W20-12,Delhomme  170,Foster  106,Johnson  67
8,Sun, Oct 29,Dallas,L35-14,Delhomme  149,Foster  50,Smith  55
#9,BYE WEEK
10,Mon, Nov 13,Tampa Bay,W24-10,Delhomme  240,Foster  48,Smith  149
11,Sun, Nov 19,St. Louis,W15-0,Delhomme  191,Williams  114,Smith  90
14,Sun, Dec 10,New York,L27-13,Weinke  423,Foster  23,Carter  144
15,Sun, Dec 17,Pittsburgh,L37-3,Weinke  170,Foster  42,Smith  56
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 12,Buffalo,W14-13,Box Score
2,Thu, Aug 24,Miami,W19-10,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Houston,L34-21,Delhomme  316,Williams  31,Smith  153
4,Sun, Sep 30,Tampa Bay,L20-7,Carr  155,Foster  64,Williams  37
#7,BYE WEEK
8,Sun, Oct 28,Indianapolis,L31-7,Carr  103,Foster  62,King  82
10,Sun, Nov 11,Atlanta,L20-13,Testaverde  153,Foster  59,Smith  61
12,Sun, Nov 25,New Orleans,L31-6,Carr  95,Smith  22,Smith  47
13,Sun, Dec 2,San Francisco,W31-14,Testaverde  169,Williams  82,Smith  64
15,Sun, Dec 16,Seattle,W13-10,Moore  208,Williams  61,Smith  72
16,Sat, Dec 22,Dallas,L20-13,Moore  182,Williams  60,Smith  137
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 24,New England,L24-7,Box Score
3,Thu, Aug 30,Pittsburgh,L19-3,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 10,Arizona,L33-13,Delhomme  205,Williams  63,Muhammad  55
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Chicago,W20-17,Delhomme  128,Stewart  77,Muhammad  59
4,Sun, Sep 28,Atlanta,W24-9,Delhomme  294,Stewart  55,Muhammad  147
5,Sun, Oct 5,Kansas City,W34-0,Delhomme  236,Williams  123,Smith  96
7,Sun, Oct 19,New Orleans,W30-7,Delhomme  195,Stewart  68,Smith  122
8,Sun, Oct 26,Arizona,W27-23,Delhomme  248,Williams  108,Smith  117
#9,BYE WEEK
11,Sun, Nov 16,Detroit,W31-22,Delhomme  102,Stewart  130,Smith  63
14,Mon, Dec 8,Tampa Bay,W38-23,Delhomme  173,Williams  186,Smith  117
15,Sun, Dec 14,Denver,W30-10,Delhomme  253,Williams  88,Smith  165
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,Indianapolis,W23-20 OT,Box Score
3,Sat, Aug 23,Washington,W47-3,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Philadelphia,L38-10,Delhomme  73,Williams  37,Williams  42
#4,BYE WEEK
5,Sun, Oct 11,Washington,W20-17,Delhomme  181,Williams  40,Smith  65
7,Sun, Oct 25,Buffalo,L20-9,Delhomme  325,Williams  89,Smith  99
10,Sun, Nov 15,Atlanta,W28-19,Delhomme  195,Williams  92,Muhammad  91
11,Thu, Nov 19,Miami,L24-17,Delhomme  227,Williams  122,Smith  87
13,Sun, Dec 6,Tampa Bay,W16-6,Moore  161,Stewart  120,Smith  78
15,Sun, Dec 20,Minnesota,W26-7,Moore  299,Stewart  109,Smith  157
17,Sun, Jan 3,New Orleans,W23-10,Moore  162,Stewart  125,Muhammad  85
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 29,Baltimore,L17-13,Box Score
4,Thu, Sep 3,Pittsburgh,L21-10,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Tampa Bay,L20-7,Moore  125,Williams  54,Smith  66
3,Sun, Sep 26,Cincinnati,L20-7,Clausen  188,Williams  64,Goodson  47
5,Sun, Oct 10,Chicago,L23-6,Clausen  61,Williams  51,Gettis  32
#6,BYE WEEK
7,Sun, Oct 24,San Francisco,W23-20,Moore  308,Williams  44,Gettis  125
9,Sun, Nov 7,New Orleans,L34-3,Clausen Pike  47,Sutton  41,Gettis  22
11,Sun, Nov 21,Baltimore,L37-13,St. Pierre  173,Goodson  120,Gettis  92
