#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Minnesota,W27-23,Miller  297,Thomas  45,Booker  198
3,Sun, Sep 22,New Orleans,L29-23,Miller  236,Thomas  111,Booker  97
5,Mon, Oct 7,Green Bay,L34-21,Miller  353,Thomas  45,Booker  141
#6,BYE WEEK
9,Sun, Nov 3,Philadelphia,L19-13,Miller  205,Thomas  52,Thomas  52
10,Sun, Nov 10,New England,L33-30,Miller  72,Thomas  99,Booker  65
12,Sun, Nov 24,Detroit,W20-17 OT,Miller  250,Thomas  40,Booker  157
15,Sun, Dec 15,New York,W20-13,Chandler  177,Johnson  56,Booker  62
17,Sun, Dec 29,Tampa Bay,L15-0,Burris  78,Peterson  42,Johnson  31
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Denver,L27-3,Box Score
2,Fri, Aug 23,Jacksonville,L24-16,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#3,BYE WEEK
4,Mon, Sep 29,Green Bay,L38-23,Stewart  201,Thomas  110,Clark  63
5,Sun, Oct 5,Oakland,W24-21,Stewart  160,Thomas  123,Booker  94
8,Sun, Oct 26,Detroit,W24-16,Chandler  207,Forsey  56,Gage  58
9,Sun, Nov 2,San Diego,W20-7,Chandler  224,Thomas  111,White  58
11,Sun, Nov 16,St. Louis,L23-21,Chandler  153,Thomas  92,Booker  60
13,Sun, Nov 30,Arizona,W28-3,Stewart  284,Forsey  134,Gage  100
15,Sun, Dec 14,Minnesota,W13-10,Grossman  157,Thomas  79,Booker  48
16,Sun, Dec 21,Washington,W27-24,Grossman  249,Thomas  141,Booker  80
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Indianapolis,W20-18,Box Score
1,Sat, Aug 16,Denver,L15-10,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Detroit,L20-16,Grossman  227,Jones  67,Terrell  126
4,Sun, Oct 3,Philadelphia,L19-9,Quinn  215,Jones  32,Terrell  116
#5,BYE WEEK
6,Sun, Oct 17,Washington,L13-10,Quinn  65,Jones  97,Jones  22
8,Sun, Oct 31,San Francisco,W23-13,Krenzel  168,Thomas  98,Berrian  49
11,Sun, Nov 21,Indianapolis,L41-10,Krenzel  175,Jones  59,Terrell  76
13,Sun, Dec 5,Minnesota,W24-14,Hutchinson  213,Thomas  55,Clark  58
15,Sun, Dec 19,Houston,L24-5,Hutchinson  168,Jones  40,Terrell  41
17,Sun, Jan 2,Green Bay,L31-14,Hutchinson  196,Jones  108,Terrell  99
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 21,San Francisco,W20-13,Box Score
2,Fri, Aug 27,New Orleans,L17-13,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 15,Carolina,L29-21,Grossman  192,Jones  80,Berrian  68
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Detroit,W38-6,Orton  150,Jones  139,Muhammad  81
