#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,San Diego,L34-6,Frerotte  198,Frerotte  14,Farmer  54
4,Sun, Sep 29,Tampa Bay,L35-7,Smith  117,Dillon  59,Warrick  51
6,Sun, Oct 13,Pittsburgh,L34-7,Kitna  222,Dillon  57,Johnson  71
#7,BYE WEEK
8,Sun, Oct 27,Tennessee,L30-24,Kitna  193,Dillon  138,Johnson  86
11,Sun, Nov 17,Cleveland,L27-20,Kitna  258,Dillon  92,Johnson  103
13,Sun, Dec 1,Baltimore,L27-23,Kitna  308,Dillon  70,Dugans  81
15,Sun, Dec 15,Jacksonville,L29-15,Kitna  258,Dillon  59,Johnson  91
16,Sun, Dec 22,New Orleans,W20-13,Kitna  190,Dillon  126,Warrick  71
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 24,New Orleans,L31-23,Box Score
3,Thu, Aug 29,Atlanta,L27-14,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Denver,L30-10,Kitna  264,Dillon  34,Schobel  97
3,Sun, Sep 21,Pittsburgh,L17-10,Kitna  157,Dillon  26,Johnson  77
#6,BYE WEEK
7,Sun, Oct 19,Baltimore,W34-26,Kitna  274,Dillon  39,Johnson  130
8,Sun, Oct 26,Seattle,W27-24,Kitna  226,Johnson  101,Johnson  84
10,Sun, Nov 9,Houston,W34-27,Kitna  182,Johnson  182,Johnson  89
11,Sun, Nov 16,Kansas City,W24-19,Kitna  233,Johnson  165,Warrick  114
15,Sun, Dec 14,San Francisco,W41-38,Kitna  189,Johnson  174,Johnson  91
17,Sun, Dec 28,Cleveland,L22-14,Kitna  175,Johnson  52,Schobel  42
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 16,Detroit,W23-10,Box Score
2,Sat, Aug 23,Tennessee,L23-15,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Miami,W16-13,Palmer  147,Johnson  67,Warrick  51
3,Sun, Sep 26,Baltimore,L23-9,Palmer  316,Johnson  98,Houshmandzadeh  116
#5,BYE WEEK
