#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Tennessee,W21-13,Carter  240,Smith  59,Galloway  88
5,Sun, Oct 6,New York,L21-17,Carter  262,Smith  70,Galloway  109
6,Sun, Oct 13,Carolina,W14-13,Carter  225,Smith  59,Galloway  104
8,Sun, Oct 27,Seattle,L17-14,Hutchinson  145,Smith  109,Galloway  62
#10,BYE WEEK
12,Sun, Nov 24,Jacksonville,W21-19,Hutchinson  301,Smith  73,Galloway  144
13,Thu, Nov 28,Washington,W27-20,Hutchinson  145,Smith  144,Galloway  54
14,Sun, Dec 8,San Francisco,L31-27,Hutchinson  147,Smith  66,McGee  73
16,Sat, Dec 21,Philadelphia,L27-3,Hutchinson  128,Smith  30,Bryant  34
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 9,Oakland,W20-6,Box Score
2,Sat, Aug 24,Atlanta,L21-19,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Atlanta,L27-13,Carter  268,Cason  77,Galloway  139
#3,BYE WEEK
5,Sun, Oct 5,Arizona,W24-7,Carter  277,Hambrick  59,Glenn  104
6,Sun, Oct 12,Philadelphia,W23-21,Carter  146,Hambrick  46,Galloway  56
9,Sun, Nov 2,Washington,W21-14,Carter  196,Hambrick  100,Glenn  73
10,Sun, Nov 9,Buffalo,W10-6,Carter  116,Murrell  76,Galloway  30
12,Sun, Nov 23,Carolina,W24-20,Carter  254,Hambrick Cason  26,Glenn  74
13,Thu, Nov 27,Miami,L40-21,Carter  288,Carter  42,Glenn  97
16,Sun, Dec 21,New York,W19-3,Carter  240,Hambrick  36,Galloway Glenn  64
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 15,Houston,W34-6,Box Score
3,Thu, Aug 28,Oakland,W52-13,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Cleveland,W19-12,Testaverde  322,George  62,Glenn  90
#4,BYE WEEK
5,Sun, Oct 10,New York,L26-10,Testaverde  126,George  75,Johnson  43
6,Sun, Oct 17,Pittsburgh,L24-20,Testaverde  284,Anderson  54,Glenn  140
8,Sun, Oct 31,Detroit,W31-21,Testaverde  235,George  99,Witten  84
10,Mon, Nov 15,Philadelphia,L49-21,Testaverde  254,George  39,Witten  133
12,Thu, Nov 25,Chicago,W21-7,Testaverde  92,Jones  150,Johnson  58
14,Sun, Dec 12,New Orleans,L27-13,Testaverde  160,Jones  88,Witten  59
16,Sun, Dec 26,Washington,W13-10,Testaverde  234,Jones  57,Johnson  84
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 30,Tennessee,W20-17,Box Score
3,Thu, Sep 2,Kansas City,W24-20,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 19,Washington,L14-13,Bledsoe  261,Jones  81,Glenn  157
5,Sun, Oct 9,Philadelphia,W33-10,Bledsoe  289,Thompson  75,Glenn  118
6,Sun, Oct 16,New York,W16-13 OT,Bledsoe  312,Thomas  47,Johnson  120
8,Sun, Oct 30,Arizona,W34-13,Bledsoe  220,Barber  127,Witten  71
#9,BYE WEEK
11,Sun, Nov 20,Detroit,W20-7,Bledsoe  110,Jones  92,Johnson  37
