#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,St. Louis,W23-16,Griese  202,Gary  37,McCaffrey  50
3,Sun, Sep 22,Buffalo,W28-23,Griese  211,Portis  103,Smith  94
5,Sun, Oct 6,San Diego,W26-9,Griese  316,Portis  102,McCaffrey  113
6,Sun, Oct 13,Miami,L24-22,Griese  335,Portis  75,Smith  88
#9,BYE WEEK
10,Mon, Nov 11,Oakland,L34-10,Griese  293,Portis  50,Smith  72
12,Sun, Nov 24,Indianapolis,L23-20 OT,Beuerlein  185,Portis  88,Smith  73
15,Sun, Dec 15,Kansas City,W31-24,Griese  297,Portis  130,Smith  83
17,Sun, Dec 29,Arizona,W37-7,Beuerlein  203,Portis  228,McCaffrey  112
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 19,San Francisco,L12-7,Box Score
3,Thu, Aug 29,Seattle,W31-0,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Mon, Sep 22,Oakland,W31-10,Plummer  197,Anderson  70,Lelie  108
4,Sun, Sep 28,Detroit,W20-16,Plummer  277,Plummer  40,Lelie  76
6,Sun, Oct 12,Pittsburgh,W17-14,Beuerlein  172,Portis  47,Smith  70
9,Mon, Nov 3,New England,L30-26,Kanell  163,Portis  111,Smith  58
#10,BYE WEEK
11,Sun, Nov 16,San Diego,W37-8,Plummer  254,Portis  106,Sharpe  101
12,Sun, Nov 23,Chicago,L19-10,Plummer  176,Portis  165,Smith  86
14,Sun, Dec 7,Kansas City,W45-27,Plummer  238,Portis  218,Smith  85
15,Sun, Dec 14,Cleveland,W23-20 OT,Plummer  269,Portis  139,Sharpe  97
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 25,Indianapolis,L28-23,Box Score
3,Fri, Aug 29,Seattle,W20-3,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2004 Regular Season Schedule
