#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,Green Bay,L37-31,Harrington  182,Stewart  88,Stewart  56
4,Sun, Sep 29,New Orleans,W26-21,Harrington  267,Stewart  65,Hakim  98
#5,BYE WEEK
7,Sun, Oct 20,Chicago,W23-20 OT,Harrington  199,Stewart  172,Cason  57
9,Sun, Nov 3,Dallas,W9-7,Harrington  104,Stewart  50,Stewart  41
11,Sun, Nov 17,New York,L31-14,Harrington  171,Stewart  93,Schroeder  57
13,Thu, Nov 28,New England,L20-12,Harrington  210,Stewart  57,Crowell  46
15,Sun, Dec 15,Tampa Bay,L23-20,McMahon  158,Cason  62,Schroeder  96
17,Sun, Dec 29,Minnesota,L38-36,McMahon  293,McMahon  43,Schroeder  132
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 24,Pittsburgh,L34-22,Box Score
3,Thu, Aug 29,Buffalo,W20-13,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Arizona,W42-24,Harrington  195,Gary  44,Ricks  43
3,Sun, Sep 21,Minnesota,L23-13,Harrington  235,Bryson  49,Schroeder Rogers  54
#6,BYE WEEK
7,Sun, Oct 19,Dallas,L38-7,McMahon  51,Gary  37,Anderson  27
9,Sun, Nov 2,Oakland,W23-13,Harrington  117,Bryson  53,Schlesinger  53
10,Sun, Nov 9,Chicago,W12-10,Harrington  238,Swinton  9,Anderson  77
13,Thu, Nov 27,Green Bay,W22-14,Harrington  183,Bryson  50,Hakim  65
14,Sun, Dec 7,San Diego,L14-7,Harrington  208,Bryson  28,Swinton  54
17,Sun, Dec 28,St. Louis,W30-20,Harrington  238,Pinner  51,Hakim  58
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Pittsburgh,W26-13,Box Score
2,Sat, Aug 23,Cleveland,W38-17,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Houston,W28-16,Harrington  176,Jones  57,Williams  73
3,Sun, Sep 26,Philadelphia,L30-13,Harrington  199,Bryson  43,Williams  135
#4,BYE WEEK
6,Sun, Oct 17,Green Bay,L38-10,Harrington  101,Harrington  12,Hakim  49
9,Sun, Nov 7,Washington,L17-10,Harrington  269,Bryson  21,Hakim  120
12,Thu, Nov 25,Indianapolis,L41-9,Harrington  156,Jones  99,Alexander  58
13,Sun, Dec 5,Arizona,W26-12,Harrington  196,Jones  196,Williams  76
15,Sun, Dec 19,Minnesota,L28-27,Harrington  361,Jones  79,Hakim  108
16,Sun, Dec 26,Chicago,W19-13,Harrington  166,Jones  123,Swinton  42
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 14,Pittsburgh,W27-21,Box Score
