#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 4,Atlanta,L27-7,Favre  247,Green  34,Walker  104
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Atlanta,W37-34 OT,Favre  284,Green  155,Driver  78
4,Sun, Sep 29,Carolina,W17-14,Favre  200,Green  73,Driver  97
7,Sun, Oct 20,Washington,W30-9,Favre  89,Green  88,Driver  44
#8,BYE WEEK
9,Mon, Nov 4,Miami,W24-10,Favre  187,Green  72,Green  71
10,Sun, Nov 10,Detroit,W40-14,Favre  351,Davenport  73,Driver  130
13,Sun, Dec 1,Chicago,W30-20,Favre  221,Fisher  91,Driver  65
14,Sun, Dec 8,Minnesota,W26-22,Favre  214,Fisher  96,Ferguson  105
16,Sun, Dec 22,Buffalo,W10-0,Favre  114,Green  116,Driver  52
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 26,Cleveland,W27-20,Box Score
3,Fri, Aug 30,Tennessee,W21-20,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 4,Seattle,W33-27 OT,Favre  319,Green  66,Walker  111
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Minnesota,L30-25,Favre  248,Green  53,Walker  84
2,Sun, Sep 14,Detroit,W31-6,Favre  132,Green  160,Freeman  32
5,Sun, Oct 5,Seattle,W35-13,Favre  185,Green  118,Driver  72
6,Sun, Oct 12,Kansas City,L40-34 OT,Favre  272,Green  139,Walls  64
#8,BYE WEEK
10,Mon, Nov 10,Philadelphia,L17-14,Favre  111,Green  198,Green  32
12,Sun, Nov 23,San Francisco,W20-10,Favre  138,Green  154,Walker  66
14,Sun, Dec 7,Chicago,W34-21,Favre  210,Green  80,Ferguson  79
17,Sun, Dec 28,Denver,W31-3,Favre  116,Green  218,Walker  41
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 23,Carolina,L20-7,Box Score
3,Thu, Aug 28,Tennessee,L27-3,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 9,Minnesota,L31-17,Favre  216,Green  80,Driver  78
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Chicago,L21-10,Favre  252,Green  128,Walker  102
4,Sun, Oct 3,New York,L14-7,Favre  110,Green  58,Green  48
5,Mon, Oct 11,Tennessee,L48-27,Favre  338,Green  33,Walker  159
7,Sun, Oct 24,Dallas,W41-20,Favre  258,Green  163,Walker  129
#9,BYE WEEK
10,Sun, Nov 14,Minnesota,W34-31,Favre  236,Green  145,Walker  74
12,Mon, Nov 29,St. Louis,W45-17,Favre  215,Davenport  178,Driver  85
