#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Dallas,W19-10,Carr  145,Allen  56,Bradford  99
3,Sun, Sep 22,Indianapolis,L23-3,Carr  99,Wells  93,Dawson  32
#5,BYE WEEK
6,Sun, Oct 13,Buffalo,L31-24,Carr  218,Wells  70,Bradford  126
9,Sun, Nov 3,Cincinnati,L38-3,Carr  199,Wells  44,Bradford  53
11,Sun, Nov 17,Jacksonville,L24-21,Carr  228,Carr  33,Bradford  73
12,Sun, Nov 24,New York,W16-14,Carr  103,Wells  68,Miller  70
15,Sun, Dec 15,Baltimore,L23-19,Carr  196,Wells  48,Miller  77
17,Sun, Dec 29,Tennessee,L13-3,Carr  214,Allen  20,Gaffney  73
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 24,Miami,L24-3,Box Score
3,Fri, Aug 30,Tampa Bay,L17-13,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 21,Kansas City,L42-14,Carr  167,Hollings  41,Johnson  102
4,Sun, Sep 28,Jacksonville,W24-20,Carr  234,Williams  53,Johnson  97
#5,BYE WEEK
7,Sun, Oct 19,New York,L19-14,Carr  170,Williams  129,Johnson  71
9,Sun, Nov 2,Carolina,W14-10,Banks  154,Williams  74,Johnson  64
12,Sun, Nov 23,New England,L23-20 OT,Banks  93,Williams  69,Johnson  37
13,Sun, Nov 30,Atlanta,W17-13,Banks  100,Williams  101,Miller  40
16,Sun, Dec 21,Tennessee,L27-24,Carr  242,Williams  51,Johnson  108
17,Sun, Dec 28,Indianapolis,L20-17,Carr  105,Williams  99,Johnson  51
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Denver,L20-12,Box Score
2,Sat, Aug 23,San Diego,L19-17,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,San Diego,L27-20,Carr  229,Williams  87,Williams  70
4,Sun, Oct 3,Oakland,W30-17,Carr  228,Wells  105,Johnson  115
5,Sun, Oct 10,Minnesota,L34-28 OT,Carr  372,Williams  31,Johnson  170
#7,BYE WEEK
8,Sun, Oct 31,Jacksonville,W20-6,Carr  276,Williams  56,Gaffney  88
11,Sun, Nov 21,Green Bay,L16-13,Carr  164,Williams  65,Johnson  107
12,Sun, Nov 28,Tennessee,W31-21,Carr  201,Williams  129,Williams  52
14,Sun, Dec 12,Indianapolis,L23-14,Carr  167,Williams  128,Williams  73
17,Sun, Jan 2,Cleveland,L22-14,Carr  114,Williams  103,Williams  42
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 14,Dallas,W18-0,Box Score
3,Thu, Sep 2,Tampa Bay,L17-9,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Pittsburgh,L27-7,Carr  167,Williams  59,Bradford  49
#3,BYE WEEK
5,Sun, Oct 9,Tennessee,L34-20,Carr  131,Williams  130,Williams  43
7,Sun, Oct 23,Indianapolis,L38-20,Carr  48,Williams  98,Gaffney  25
8,Sun, Oct 30,Cleveland,W19-16,Carr  138,Williams  91,Gaffney  64
11,Sun, Nov 20,Kansas City,L45-17,Carr  182,Williams  57,Williams  53
12,Sun, Nov 27,St. Louis,L33-27 OT,Carr  293,Williams  78,Johnson  159
15,Sun, Dec 18,Arizona,W30-19,Carr  150,Wells  87,Johnson  51
16,Sat, Dec 24,Jacksonville,L38-20,Carr  295,Wells  86,Johnson  119
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 13,Denver,L20-14,Box Score
1,Sat, Aug 20,Oakland,W19-17,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 10,Philadelphia,L24-10,Carr  208,Lundy  32,Johnson  101
3,Sun, Sep 24,Washington,L31-15,Carr  208,Dayne  58,Johnson  152
4,Sun, Oct 1,Miami,W17-15,Carr  230,Dayne  58,Johnson  101
#5,BYE WEEK
7,Sun, Oct 22,Jacksonville,W27-7,Carr  224,Lundy  93,Johnson  106
11,Sun, Nov 19,Buffalo,L24-21,Carr  223,Gado  69,Johnson  76
