#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Miami,L21-13,Manning  289,James  138,Harrison  144
#4,BYE WEEK
5,Sun, Oct 6,Cincinnati,W28-21,Manning  224,James  60,Harrison  145
6,Sun, Oct 13,Baltimore,W22-20,Manning  284,James  43,Harrison  150
9,Sun, Nov 3,Tennessee,L23-15,Manning  327,Mungro  60,Harrison  99
11,Sun, Nov 17,Dallas,W20-3,Manning  252,James  106,Harrison  138
13,Sun, Dec 1,Houston,W19-3,Manning  190,James  65,Harrison  101
16,Sun, Dec 22,New York,L44-27,Manning  365,Mungro  21,Harrison  128
17,Sun, Dec 29,Jacksonville,W20-13,Manning  146,James  86,Pollard  39
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 17,Cincinnati,L22-10,Box Score
2,Sat, Aug 24,Buffalo,W19-7,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 4,Denver,W41-10,Manning  377,James  78,Stokley  144
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Tennessee,W33-7,Manning  173,James  120,Clark  63
3,Sun, Sep 21,Jacksonville,W23-13,Manning  216,James  76,Wayne  141
6,Sun, Oct 12,Carolina,L23-20 OT,Manning  293,Williams  57,Harrison  119
#7,BYE WEEK
8,Sun, Oct 26,Houston,W30-21,Manning  269,James  104,Harrison  100
11,Sun, Nov 16,New York,W38-31,Manning  403,James  132,Wayne  142
13,Sun, Nov 30,New England,L38-34,Manning  278,James  88,Harrison  88
15,Sun, Dec 14,Atlanta,W38-7,Manning  290,James  126,Harrison  117
16,Sun, Dec 21,Denver,L31-17,Manning  146,James  42,Harrison  85
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 15,Seattle,W21-7,Box Score
3,Fri, Aug 29,Cincinnati,W21-20,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 9,Denver,W49-24,Manning  458,James  63,Wayne  221
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,Green Bay,W45-31,Manning  393,James  62,Wayne  184
5,Sun, Oct 10,Oakland,W35-14,Manning  198,James  136,Wayne  69
#6,BYE WEEK
