#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Indianapolis,L28-25,Brunell  228,Taylor  83,Smith  104
#3,BYE WEEK
4,Sun, Sep 29,New York,W28-3,Brunell  173,Taylor  142,Taylor  95
5,Sun, Oct 6,Philadelphia,W28-25,Brunell  197,Taylor  48,Smith  91
8,Sun, Oct 27,Houston,L21-19,Brunell  202,Taylor  84,Smith  80
10,Sun, Nov 10,Washington,W26-7,Brunell  194,Taylor  82,Shaw  69
13,Sun, Dec 1,Pittsburgh,L25-23,Brunell  146,Taylor  80,Brady  54
14,Sun, Dec 8,Cleveland,L21-20,Brunell  73,Taylor  145,Smith  23
16,Sun, Dec 22,Tennessee,L28-10,Brunell  114,Mack  28,Brady  55
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 16,Tampa Bay,L20-0,Box Score
3,Thu, Aug 29,Dallas,L28-25,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Buffalo,L38-17,Brunell  122,Taylor  71,Brady Hankton  42
5,Sun, Oct 5,San Diego,W27-21,Leftwich  336,Taylor  87,Smith  137
6,Sun, Oct 12,Miami,L24-10,Leftwich  256,Taylor  35,Smith  65
#7,BYE WEEK
8,Sun, Oct 26,Tennessee,L30-17,Leftwich  158,Taylor  48,Edwards  63
10,Sun, Nov 9,Indianapolis,W28-23,Leftwich  179,Taylor  152,Smith  87
13,Sun, Nov 30,Tampa Bay,W17-10,Leftwich  224,Taylor  118,Smith  136
14,Sun, Dec 7,Houston,W27-0,Leftwich  194,Taylor  163,Smith  58
16,Sun, Dec 21,New Orleans,W20-19,Leftwich  131,Taylor  194,Taylor  31
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 15,Miami,W27-23,Box Score
3,Thu, Aug 28,Washington,W17-15,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Denver,W7-6,Leftwich  120,Taylor  54,Smith  69
4,Sun, Oct 3,Indianapolis,L24-17,Leftwich  318,Taylor  68,Smith  59
6,Sun, Oct 17,Kansas City,W22-16,Leftwich  298,Taylor  66,Smith  91
#9,BYE WEEK
10,Sun, Nov 14,Detroit,W23-17 OT,Garrard  198,Taylor  144,Smith  109
11,Sun, Nov 21,Tennessee,L18-15,Garrard  129,Taylor  103,Smith  29
13,Sun, Dec 5,Pittsburgh,L17-16,Leftwich  268,Taylor  76,Edwards  90
14,Sun, Dec 12,Chicago,W22-3,Leftwich  242,Taylor  79,Smith  85
16,Sun, Dec 26,Houston,L21-0,Leftwich  35,Jones  38,Edwards  24
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 20,Tampa Bay,W14-6,Box Score
2,Fri, Aug 27,Green Bay,W9-7,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Seattle,W26-14,Leftwich  252,Taylor  76,Smith  130
4,Sun, Oct 2,Denver,L20-7,Leftwich  240,Taylor  14,Smith  109
5,Sun, Oct 9,Cincinnati,W23-20,Leftwich  161,Taylor  132,Smith  43
#7,BYE WEEK
9,Sun, Nov 6,Houston,W21-14,Leftwich  218,Taylor  48,Wilford  89
10,Sun, Nov 13,Baltimore,W30-3,Leftwich  211,Jones  106,Jones  117
14,Sun, Dec 11,Indianapolis,L26-18,Garrard  250,Jones  43,Smith  102
15,Sun, Dec 18,San Francisco,W10-9,Garrard  216,Taylor  61,Smith  70
17,Sun, Jan 1,Tennessee,W40-13,Garrard  128,Toefield  102,Jones  55
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 13,Miami,W27-17,Box Score
2,Thu, Aug 25,Atlanta,L23-7,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 10,Dallas,W24-17,Leftwich  237,Taylor  74,Jones  71
2,Mon, Sep 18,Pittsburgh,W9-0,Leftwich  260,Taylor  92,Williams  95
5,Sun, Oct 8,New York,W41-0,Leftwich  140,Taylor  111,Williams  53
#6,BYE WEEK
9,Sun, Nov 5,Tennessee,W37-7,Garrard  177,Taylor  79,Jones  66
10,Sun, Nov 12,Houston,L13-10,Garrard  214,Taylor  63,Taylor  71
11,Mon, Nov 20,New York,W26-10,Garrard  249,Taylor  79,Wilford  72
14,Sun, Dec 10,Indianapolis,W44-17,Garrard  79,Jones-Drew  166,Lewis  19
16,Sun, Dec 24,New England,L24-21,Garrard  195,Jones-Drew  131,Jones  69
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 19,Carolina,L17-10,Box Score
2,Sat, Aug 26,Tampa Bay,W29-18,Box Score
#2007 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Tennessee,L13-10,Garrard  204,Jones-Drew  32,Northcutt  57
2,Sun, Sep 16,Atlanta,W13-7,Garrard  272,Taylor  56,Northcutt  75
#4,BYE WEEK
6,Sun, Oct 14,Houston,W37-17,Garrard  221,Jones-Drew  125,Jones-Drew  59
7,Mon, Oct 22,Indianapolis,L29-7,Garrard  72,Taylor  55,Wilford  53
11,Sun, Nov 18,San Diego,W24-17,Garrard  189,Taylor  85,Williams  62
12,Sun, Nov 25,Buffalo,W36-14,Garrard  296,Taylor  104,Northcutt  65
14,Sun, Dec 9,Carolina,W37-6,Garrard  230,Taylor  132,Williams  90
16,Sun, Dec 23,Oakland,W49-11,Garrard  199,Taylor  111,Jones-Drew  96
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 18,Tampa Bay,W31-19,Box Score
3,Thu, Aug 30,Washington,W31-14,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Buffalo,L20-16,Garrard  165,Taylor  49,Jones  50
4,Sun, Sep 28,Houston,W30-27 OT,Garrard  236,Garrard Owens  41,Jones  71
5,Sun, Oct 5,Pittsburgh,L26-21,Garrard  200,Taylor  19,Sims-Walker  107
#7,BYE WEEK
8,Sun, Oct 26,Cleveland,L23-17,Garrard  283,Garrard  59,Jones  117
11,Sun, Nov 16,Tennessee,L24-14,Garrard  135,Jones-Drew  66,Northcutt  28
12,Sun, Nov 23,Minnesota,L30-12,Garrard  317,Taylor  20,Jones-Drew  113
15,Sun, Dec 14,Green Bay,W20-16,Garrard  238,Jones-Drew  48,Northcutt  127
16,Thu, Dec 18,Indianapolis,L31-24,Garrard  329,Jones-Drew  91,Northcutt  101
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,Atlanta,W20-17,Box Score
2,Sat, Aug 16,Miami,L19-14,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Arizona,L31-17,Garrard  282,Jones-Drew  66,Sims-Walker  106
4,Sun, Oct 4,Tennessee,W37-17,Garrard  323,Jennings  53,Sims-Walker  91
6,Sun, Oct 18,St. Louis,W23-20 OT,Garrard  335,Jones-Drew  133,Sims-Walker  120
#7,BYE WEEK
9,Sun, Nov 8,Kansas City,W24-21,Garrard  264,Jones-Drew  97,Sims-Walker  147
11,Sun, Nov 22,Buffalo,W18-15,Garrard  215,Jones-Drew  66,Sims-Walker  91
13,Sun, Dec 6,Houston,W23-18,Garrard  238,Jones-Drew  76,Miller  74
14,Sun, Dec 13,Miami,L14-10,Garrard  139,Jones-Drew  59,Holt  71
15,Thu, Dec 17,Indianapolis,L35-31,Garrard  223,Jones-Drew  110,Sims-Walker  64
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,Tampa Bay,L24-23,Box Score
4,Thu, Sep 3,Washington,W24-17,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Denver,W24-17,Garrard  170,Jones-Drew  98,Thomas  89
3,Sun, Sep 26,Philadelphia,L28-3,Garrard  105,Jones-Drew  88,Sims-Walker  34
4,Sun, Oct 3,Indianapolis,W31-28,Garrard  163,Jones-Drew  105,Thomas  68
6,Mon, Oct 18,Tennessee,L30-3,Edwards  140,Jones-Drew  57,Thomas  88
#9,BYE WEEK
10,Sun, Nov 14,Houston,W31-24,Garrard  342,Jones-Drew  100,Thomas  149
11,Sun, Nov 21,Cleveland,W24-20,Garrard  254,Jones-Drew  133,Jones-Drew  87
14,Sun, Dec 12,Oakland,W38-31,Garrard  159,Jennings  109,Lewis  57
16,Sun, Dec 26,Washington,L20-17 OT,Garrard  299,Garrard  39,Thomas  96
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,Miami,L27-26,Box Score
4,Thu, Sep 2,Atlanta,W13-9,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Tennessee,W16-14,McCown  175,Jones-Drew  97,Thomas  55
4,Sun, Oct 2,New Orleans,L23-10,Gabbert  196,Jones-Drew  84,Thomas  73
5,Sun, Oct 9,Cincinnati,L30-20,Gabbert  221,Jones-Drew  85,Hill  118
7,Mon, Oct 24,Baltimore,W12-7,Gabbert  93,Jones-Drew  105,Hill  62
#9,BYE WEEK
12,Sun, Nov 27,Houston,L20-13,Gabbert  136,Jones-Drew  99,Jones-Drew  67
13,Mon, Dec 5,San Diego,L38-14,Gabbert  195,Jones-Drew  97,Jones-Drew  91
14,Sun, Dec 11,Tampa Bay,W41-14,Gabbert  217,Jones-Drew  85,Lewis  77
17,Sun, Jan 1,Indianapolis,W19-13,Gabbert  92,Jones-Drew  169,Lewis  33
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 19,Atlanta,W15-13,Box Score
4,Thu, Sep 1,St. Louis,L24-17,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Houston,L27-7,Gabbert  53,Jones-Drew  60,Robinson  49
4,Sun, Sep 30,Cincinnati,L27-10,Gabbert  186,Jones-Drew  38,Blackmon  48
5,Sun, Oct 7,Chicago,L41-3,Gabbert  142,Jones-Drew  56,Shorts  43
#6,BYE WEEK
9,Sun, Nov 4,Detroit,L31-14,Gabbert  220,Jennings  45,Shorts  56
10,Thu, Nov 8,Indianapolis,L27-10,Gabbert  209,Jennings  27,Shorts  105
12,Sun, Nov 25,Tennessee,W24-19,Henne  261,Parmele  45,Shorts  105
14,Sun, Dec 9,New York,L17-10,Henne  185,Owens  91,Blackmon  57
16,Sun, Dec 23,New England,L23-16,Henne  348,Owens  42,Shipley  82
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,New York,W32-31,Box Score
4,Thu, Aug 30,Atlanta,W24-14,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Kansas City,L28-2,Gabbert  121,Jones-Drew  45,Shorts  40
4,Sun, Sep 29,Indianapolis,L37-3,Gabbert  179,Jones-Drew  23,Shorts  61
7,Sun, Oct 20,San Diego,L24-6,Henne  318,Jones-Drew  37,Brown  120
8,Sun, Oct 27,San Francisco,L42-10,Henne  228,Jones-Drew  75,Shorts  74
#9,BYE WEEK
11,Sun, Nov 17,Arizona,L27-14,Henne  255,Jones-Drew  23,Noble  62
14,Thu, Dec 5,Houston,W27-20,Henne  117,Jones-Drew  103,Lewis  42
15,Sun, Dec 15,Buffalo,L27-20,Henne  237,Todman  109,Lewis  54
16,Sun, Dec 22,Tennessee,L20-16,Henne  237,Jones-Drew  45,Brown  71
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Miami,L27-3,Box Score
3,Sat, Aug 24,Philadelphia,L31-24,Box Score
