#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Jacksonville,L23-16,Green  199,Holmes  84,Boerigter  51
4,Sun, Sep 29,Miami,W48-30,Green  328,Holmes  52,Gonzalez  140
7,Sun, Oct 20,Denver,L37-34 OT,Green  172,Holmes  113,Gonzalez  58
8,Sun, Oct 27,Oakland,W20-10,Green  208,Holmes  91,Holmes  93
#9,BYE WEEK
11,Sun, Nov 17,Buffalo,W17-16,Green  197,Holmes  104,Kennison  93
13,Sun, Dec 1,Arizona,W49-0,Green  209,Holmes  113,Gonzalez  74
14,Sun, Dec 8,St. Louis,W49-10,Green  100,Holmes  132,Gonzalez  38
16,Sun, Dec 22,San Diego,W24-22,Green  337,Cloud Blaylock  19,Boerigter  144
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 17,Houston,W19-9,Box Score
3,Fri, Aug 30,St. Louis,W23-16,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 11,Indianapolis,L38-31,Green  212,Holmes  176,Gonzalez  55
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,San Diego,W27-14,Green  282,Holmes  85,Holmes  98
2,Sun, Sep 14,Pittsburgh,W41-20,Green  124,Holmes  122,Morton  44
5,Sun, Oct 5,Denver,W24-23,Green  129,Holmes  97,Gonzalez  47
8,Sun, Oct 26,Buffalo,W38-5,Green  273,Holmes  83,Hall  107
#9,BYE WEEK
10,Sun, Nov 9,Cleveland,W41-20,Green  368,Holmes  92,Kennison  115
12,Sun, Nov 23,Oakland,W27-24,Green  244,Holmes  91,Holmes  100
15,Sun, Dec 14,Detroit,W45-17,Green  341,Holmes  94,Blaylock  106
17,Sun, Dec 28,Chicago,W31-3,Green  162,Holmes  50,Morton  81
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Mon, Aug 4,Green Bay,W9-0
HOF,Sat, Aug 9,San Francisco,L24-6,Box Score
1,Sat, Aug 16,Minnesota,W26-16,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Carolina,L28-17,Green  187,Holmes  66,Morton  76
3,Sun, Sep 26,Houston,L24-21,Green  226,Holmes  134,Gonzalez  106
#5,BYE WEEK
7,Sun, Oct 24,Atlanta,W56-10,Green  269,Holmes  139,Kennison  52
8,Sun, Oct 31,Indianapolis,W45-35,Green  389,Holmes  143,Gonzalez  125
