#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Detroit,W49-21,Fiedler  207,Williams  111,McMichael  73
3,Sun, Sep 22,New York,W30-3,Fiedler  185,Williams  151,McMichael  79
5,Sun, Oct 6,New England,W26-13,Fiedler  190,Williams  105,Chambers  62
7,Sun, Oct 20,Buffalo,L23-10,Lucas  165,Williams  97,McKnight  42
#8,BYE WEEK
11,Sun, Nov 17,Baltimore,W26-7,Lucas  221,Williams  102,McKnight  59
12,Sun, Nov 24,San Diego,W30-3,Lucas  194,Williams  143,McKnight  111
14,Mon, Dec 9,Chicago,W27-9,Fiedler  196,Williams  216,McKnight  90
15,Sun, Dec 15,Oakland,W23-17,Fiedler  237,Williams  101,Chambers  138
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 15,New Orleans,L24-7,Box Score
3,Thu, Aug 29,Chicago,W24-22,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Houston,L21-20,Fiedler  227,Williams  69,Chambers  118
3,Sun, Sep 21,Buffalo,W17-7,Fiedler  154,Williams  153,McMichael  57
#4,BYE WEEK
7,Sun, Oct 19,New England,L19-13 OT,Fiedler  235,Williams  102,McMichael  104
9,Sun, Nov 2,Indianapolis,L23-17,Griese  231,Williams  36,McMichael  88
11,Sun, Nov 16,Baltimore,W9-6 OT,Griese  126,Williams  105,Konrad  43
12,Sun, Nov 23,Washington,W24-23,Griese  133,Williams  107,McKnight  96
15,Mon, Dec 15,Philadelphia,L34-27,Fiedler  240,Williams  107,McMichael  95
17,Sun, Dec 28,New York,W23-21,Fiedler  328,Williams  73,Chambers  153
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 8,Tampa Bay,L20-19,Box Score
2,Fri, Aug 22,Atlanta,W30-21,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sat, Sep 11,Tennessee,L17-7,Feeley  173,Gordon  36,McMichael  79
3,Sun, Sep 26,Pittsburgh,L13-3,Feeley  137,Henry  41,McMichael  51
4,Sun, Oct 3,New York,L17-9,Fiedler  206,Henry  85,Gilmore  57
7,Sun, Oct 24,St. Louis,W31-14,Fiedler  203,Morris  83,Chambers  128
9,Sun, Nov 7,Arizona,L24-23,Fiedler Feeley  129,Minor  90,Chambers  104
#10,BYE WEEK
13,Sun, Dec 5,Buffalo,L42-32,Feeley  303,Minor  75,Booker  96
15,Mon, Dec 20,New England,W29-28,Feeley  198,Morris Minor  27,Morris  46
16,Sun, Dec 26,Cleveland,W10-7,Feeley  176,Morris  69,McMichael  59
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 14,Jacksonville,W16-5,Box Score
1,Sat, Aug 21,Washington,L17-0,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Denver,W34-10,Frerotte  275,Chambers  61,Booker  104
3,Sun, Sep 25,Carolina,W27-24,Frerotte  171,Brown  132,Chambers  93
#4,BYE WEEK
7,Fri, Oct 21,Kansas City,L30-20,Frerotte  125,Brown  95,Chambers  88
9,Sun, Nov 6,Atlanta,L17-10,Frerotte  103,Brown  67,Chambers  40
10,Sun, Nov 13,New England,L23-16,Frerotte  360,Brown  64,Booker  102
13,Sun, Dec 4,Buffalo,W24-23,Rosenfels  272,Williams  46,Chambers  238
15,Sun, Dec 18,New York,W24-20,Rosenfels  99,Williams  70,Booker  65
16,Sat, Dec 24,Tennessee,W24-10,Frerotte  151,Williams  172,Chambers  51
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Mon, Aug 8,Chicago,L27-24,Box Score
2,Sat, Aug 27,Tampa Bay,W17-14,Box Score
3,Thu, Sep 1,Atlanta,L20-17,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Buffalo,L16-6,Culpepper  250,Brown  70,Chambers  55
3,Sun, Sep 24,Tennessee,W13-10,Culpepper  168,Brown  90,Welker  59
7,Sun, Oct 22,Green Bay,L34-24,Harrington  414,Brown  59,Booker  110
#8,BYE WEEK
10,Sun, Nov 12,Kansas City,W13-10,Harrington  201,Brown  89,Chambers  66
11,Sun, Nov 19,Minnesota,W24-20,Harrington  254,Brown  5,Booker  84
13,Sun, Dec 3,Jacksonville,L24-10,Harrington  267,Morris  47,Chambers  121
14,Sun, Dec 10,New England,W21-0,Harrington  190,Morris  123,Booker  103
16,Mon, Dec 25,New York,L13-10,Lemon  104,Brown  110,McMichael  46
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 12,Jacksonville,L31-26,Box Score
3,Thu, Aug 31,St. Louis,W29-9,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Dallas,L37-20,Green  287,Brown  33,Chambers  109
4,Sun, Sep 30,Oakland,L35-17,Green  158,Brown  134,Brown  73
7,Sun, Oct 21,New England,L49-28,Lemon  236,Brown  76,Hagan  56
8,Sun, Oct 28,New York,L13-10,Lemon  149,Chatman  79,Peelle  42
#9,BYE WEEK
10,Sun, Nov 11,Buffalo,L13-10,Lemon  131,Chatman  124,Martin  34
13,Sun, Dec 2,New York,L40-13,Beck  177,Chatman  26,Booker  63
15,Sun, Dec 16,Baltimore,W22-16 OT,Lemon  315,Gado  43,Camarillo  109
17,Sun, Dec 30,Cincinnati,L38-25,Beck  135,Chatman  42,Booker  54
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 11,Jacksonville,W18-17,Box Score
2,Sat, Aug 25,Tampa Bay,L31-28,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 4,Baltimore,L27-9,Pennington  252,Brown  19,Cobbs  55
#2008 Regular Season Schedule
