#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Buffalo,L45-39 OT,Culpepper  281,Williams  102,Moss  111
3,Sun, Sep 22,Carolina,L21-14,Culpepper  191,Culpepper  32,Williams  66
#5,BYE WEEK
6,Sun, Oct 13,Detroit,W31-24,Culpepper  295,Bennett  68,Moss  83
8,Sun, Oct 27,Chicago,W25-7,Culpepper  216,Bennett  106,Moss  119
10,Sun, Nov 10,New York,L27-20,Culpepper  91,Bennett  167,Moss  85
11,Sun, Nov 17,Green Bay,W31-21,Culpepper  217,Bennett  130,Moss  115
13,Sun, Dec 1,Atlanta,L30-24 OT,Culpepper  266,Bennett  86,Moss  134
16,Sat, Dec 21,Miami,W20-17,Culpepper  244,Culpepper  67,Moss  110
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Cleveland,L27-15,Box Score
2,Fri, Aug 23,Tennessee,W14-10,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Chicago,W24-13,Culpepper  214,Williams  108,Campbell  53
4,Sun, Sep 28,San Francisco,W35-7,Frerotte  267,Williams Smith  43,Moss  172
#6,BYE WEEK
7,Sun, Oct 19,Denver,W28-20,Culpepper  277,Williams  42,Moss  151
8,Sun, Oct 26,New York,L29-17,Culpepper  241,Williams  69,Moss  125
9,Sun, Nov 2,Green Bay,L30-27,Culpepper  202,Williams  63,Moss  87
12,Sun, Nov 23,Detroit,W24-14,Culpepper  196,Bennett  73,Williams Moss  56
14,Sun, Dec 7,Seattle,W34-7,Culpepper  274,Bennett  103,Moss  133
16,Sat, Dec 20,Kansas City,W45-20,Culpepper  260,Smith  146,Moss  111
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Jacksonville,L16-14,Box Score
3,Thu, Aug 28,Arizona,L31-27,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Dallas,W35-17,Culpepper  242,Smith  76,Smith  63
3,Sun, Sep 26,Chicago,W27-22,Culpepper  360,Smith  94,Moss  119
#4,BYE WEEK
7,Sun, Oct 24,Tennessee,W20-3,Culpepper  183,Moore  138,Burleson  53
8,Sun, Oct 31,New York,L34-13,Culpepper  231,Culpepper  32,Robinson  91
11,Sun, Nov 21,Detroit,W22-19,Culpepper  233,Culpepper  35,Campbell  61
12,Sun, Nov 28,Jacksonville,W27-16,Culpepper  235,Smith  72,Wiggins  55
14,Sun, Dec 12,Seattle,L27-23,Culpepper  270,Smith  56,Moss  104
16,Fri, Dec 24,Green Bay,L34-31,Culpepper  285,Bennett  92,Burleson  110
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 14,Arizona,W23-6,Box Score
2,Fri, Aug 27,San Francisco,W23-10,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Tampa Bay,L24-13,Culpepper  233,Culpepper  19,Burleson  45
3,Sun, Sep 25,New Orleans,W33-16,Culpepper  300,Moore  101,Williamson  83
#5,BYE WEEK
7,Sun, Oct 23,Green Bay,W23-20,Culpepper  280,Moore  45,Robinson Moore  60
9,Sun, Nov 6,Detroit,W27-14,Johnson  136,Bennett  106,Taylor  27
12,Sun, Nov 27,Cleveland,W24-12,Johnson  207,Moore  67,Taylor  70
14,Sun, Dec 11,St. Louis,W27-13,Johnson  146,Bennett  70,Robinson  49
15,Sun, Dec 18,Pittsburgh,L18-3,Johnson  143,Bennett  43,Robinson  38
17,Sun, Jan 1,Chicago,W34-10,Johnson  247,Bennett  82,Taylor  68
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 12,Kansas City,W27-16,Box Score
2,Fri, Aug 26,San Diego,W19-16,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Carolina,W16-13 OT,Johnson  243,Taylor  113,Williamson  102
3,Sun, Sep 24,Chicago,L19-16,Johnson  194,Taylor  74,Taylor  82
5,Sun, Oct 8,Detroit,W26-17,Johnson  201,Taylor  123,Taylor  44
#6,BYE WEEK
8,Mon, Oct 30,New England,L31-7,Johnson  185,Taylor  22,Moore  91
10,Sun, Nov 12,Green Bay,L23-17,Johnson  257,Taylor  75,Johnson  75
12,Sun, Nov 26,Arizona,W31-26,Johnson  271,Taylor  136,Robinson  82
15,Sun, Dec 17,New York,L26-13,Jackson  177,Taylor  38,Taylor  81
17,Sun, Dec 31,St. Louis,L41-21,Jackson  213,Jackson  34,Moore  57
#2006 Preseason Schedule
