#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 9,Pittsburgh,W30-14,Brady  294,Smith  60,Branch  83
3,Sun, Sep 22,Kansas City,W41-38 OT,Brady  410,Smith  92,Brown  176
6,Sun, Oct 13,Green Bay,L28-10,Brady  183,Smith  75,Branch  38
#7,BYE WEEK
8,Sun, Oct 27,Denver,L24-16,Brady  130,Smith  58,Brown  59
12,Sun, Nov 24,Minnesota,W24-17,Brady  239,Smith  58,Patten  62
14,Sun, Dec 8,Buffalo,W27-17,Brady  183,Smith  68,Branch  41
16,Sun, Dec 22,New York,L30-17,Brady  133,Smith  46,Patten Faulk  38
17,Sun, Dec 29,Miami,W27-24 OT,Brady  221,Smith  55,Faulk  70
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 17,Philadelphia,W16-15,Box Score
2,Fri, Aug 23,Carolina,W23-3,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 10,Tennessee,W17-14,Brady  201,Smith  69,Johnson  55
CONF,Sun, Jan 18,Indianapolis,W24-14,Brady  237,Smith  100,Brown  88
SB,Sun, Feb 1,Carolina,W32-29,Brady  354,Smith  83,Branch  143
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 21,New York,W23-16,Brady  181,Faulk  79,Fauria  49
5,Sun, Oct 5,Tennessee,W38-30,Brady  219,Smith  80,Branch  68
6,Sun, Oct 12,New York,W17-6,Brady  112,Faulk  87,Patten  55
8,Sun, Oct 26,Cleveland,W9-3,Brady  259,Faulk  96,Graham  110
#10,BYE WEEK
11,Sun, Nov 16,Dallas,W12-0,Brady  219,Smith  51,Branch  69
14,Sun, Dec 7,Miami,W12-0,Brady  163,Smith  60,Branch  93
15,Sun, Dec 14,Jacksonville,W27-13,Brady  228,Smith  39,Graham  69
17,Sat, Dec 27,Buffalo,W31-0,Brady  204,Smith  74,Givens  80
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Thu, Aug 7,New York,W26-6,Box Score
3,Wed, Aug 27,Chicago,W38-23,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 16,Indianapolis,W20-3,Brady  144,Dillon  144,Givens  26
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Thu, Sep 9,Indianapolis,W27-24,Brady  335,Dillon  86,Patten Branch  86
#3,BYE WEEK
5,Sun, Oct 10,Miami,W24-10,Brady  76,Dillon  94,Givens  33
6,Sun, Oct 17,Seattle,W30-20,Brady  231,Dillon  105,Patten  58
7,Sun, Oct 24,New York,W13-7,Brady  230,Dillon  115,Givens  107
10,Sun, Nov 14,Buffalo,W29-6,Brady  233,Dillon  151,Givens  66
12,Sun, Nov 28,Baltimore,W24-3,Brady  172,Dillon  123,Branch  51
14,Sun, Dec 12,Cincinnati,W35-28,Brady  260,Dillon  88,Patten  107
17,Sun, Jan 2,San Francisco,W21-7,Brady  226,Dillon  116,Weaver  62
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 13,Philadelphia,W24-6,Box Score
3,Thu, Sep 2,Jacksonville,L31-0,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
