#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Green Bay,W35-20,Brooks  217,McAllister  123,Horn  120
5,Sun, Oct 6,Pittsburgh,W32-29,Brooks  205,McAllister  123,Pathon  79
7,Sun, Oct 20,San Francisco,W35-27,Brooks  254,McAllister  139,Horn  109
8,Sun, Oct 27,Atlanta,L37-35,Brooks  192,McAllister  115,Horn  61
#9,BYE WEEK
12,Sun, Nov 24,Cleveland,L24-15,Brooks  318,Fenderson  35,Lewis  114
13,Sun, Dec 1,Tampa Bay,W23-20,Brooks  155,McAllister  99,Horn  106
15,Sun, Dec 15,Minnesota,L32-31,Brooks  255,McAllister  69,Horn  60
17,Sun, Dec 29,Carolina,L10-6,Brooks  145,McAllister  117,Stallworth  60
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Houston,L13-10,Box Score
3,Fri, Aug 30,Indianapolis,W25-21,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Houston,W31-10,Brooks  189,McAllister  96,Horn  111
4,Sun, Sep 28,Indianapolis,L55-21,Brooks  166,McAllister  101,Conwell  88
6,Sun, Oct 12,Chicago,W20-13,Brooks  153,McAllister  116,Pathon  55
8,Sun, Oct 26,Carolina,L23-20 OT,Brooks  187,McAllister  101,Horn  74
#10,BYE WEEK
11,Sun, Nov 16,Atlanta,W23-20 OT,Brooks  228,McAllister  173,Lewis  85
14,Sun, Dec 7,Tampa Bay,L14-7,Brooks  238,McAllister  69,Horn  118
15,Sun, Dec 14,New York,W45-7,Brooks  296,McAllister  86,Horn  133
17,Sun, Dec 28,Dallas,W13-7,Brooks  243,McAllister  49,Stallworth  114
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Mon, Aug 11,Philadelphia,L27-17,Box Score
3,Thu, Aug 28,Miami,L24-10,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Seattle,L21-7,Brooks  223,McAllister  57,Horn  110
2,Sun, Sep 19,San Francisco,W30-27,Brooks  279,Stecker  41,Stallworth  113
5,Sun, Oct 10,Tampa Bay,L20-17,Brooks  106,McAllister  102,Horn  40
6,Sun, Oct 17,Minnesota,L38-31,Brooks  249,McAllister  78,Pathon  92
#8,BYE WEEK
10,Sun, Nov 14,Kansas City,W27-20,Brooks  259,McAllister  127,Horn  167
11,Sun, Nov 21,Denver,L34-13,Brooks  377,McAllister  42,Stallworth  122
13,Sun, Dec 5,Carolina,L32-21,Brooks  251,McAllister  22,Horn  160
16,Sun, Dec 26,Atlanta,W26-13,Brooks  227,McAllister  128,Horn  76
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 13,New York,W23-13,Box Score
3,Fri, Sep 3,Miami,L20-19,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 19,New York,L27-10,Brooks  375,McAllister  47,Horn  143
4,Sun, Oct 2,Buffalo,W19-7,Brooks  172,McAllister  130,Stallworth  129
6,Sun, Oct 16,Atlanta,L34-31,Brooks  259,Smith  88,Hakim  85
8,Sun, Oct 30,Miami,L21-6,Brooks  181,Brooks  34,Horn  99
9,Sun, Nov 6,Chicago,L20-17,Brooks  170,Smith  110,Poole  42
#10,BYE WEEK
13,Sun, Dec 4,Tampa Bay,L10-3,Brooks  215,Smith  49,Stecker  55
15,Sun, Dec 18,Carolina,L27-10,Bouman  193,Stecker  59,Stallworth  102
16,Sat, Dec 24,Detroit,L13-12,Bouman  233,Smith  33,Hilton  83
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 12,Seattle,L34-15,Box Score
2,Fri, Aug 26,Baltimore,L21-6,Box Score
#2006 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 13,Philadelphia,W27-24,Brees  243,McAllister  143,Miller  64
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Mon, Sep 25,Atlanta,W23-3,Brees  191,McAllister  81,Colston  97
5,Sun, Oct 8,Tampa Bay,W24-21,Brees  171,McAllister  123,Bush  63
6,Sun, Oct 15,Philadelphia,W27-24,Brees  275,McAllister  64,Horn  110
#7,BYE WEEK
8,Sun, Oct 29,Baltimore,L35-22,Brees  383,Bush  16,Colston  163
11,Sun, Nov 19,Cincinnati,L31-16,Brees  510,Bush  51,Henderson  169
