#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 4,Indianapolis,W41-0,Pennington  222,Jordan  102,Anderson  66
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,New England,L44-7,Testaverde  150,Turk  14,Moss  35
5,Sun, Oct 6,Kansas City,L29-25,Pennington  247,Martin  126,Coles  115
#6,BYE WEEK
7,Sun, Oct 20,Minnesota,W20-7,Pennington  324,Martin  70,Moss  111
8,Sun, Oct 27,Cleveland,L24-21,Pennington  183,Martin  65,Coles  61
10,Sun, Nov 10,Miami,W13-10,Pennington  167,Martin  74,Coles  80
12,Sun, Nov 24,Buffalo,W31-13,Pennington  178,Martin  120,Coles  78
14,Sun, Dec 8,Denver,W19-13,Pennington  244,Martin  57,Coles  126
17,Sun, Dec 29,Green Bay,W42-17,Pennington  196,Martin  83,Coles  93
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 24,New York,W28-7,Box Score
3,Fri, Aug 30,Philadelphia,W23-16,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Miami,L21-10,Testaverde  373,Martin  32,Moss  142
4,Sun, Sep 28,Dallas,L17-6,Testaverde  219,Martin  64,Moss  65
#5,BYE WEEK
6,Sun, Oct 12,Buffalo,W30-3,Testaverde  130,Martin  77,Conway Becht  41
9,Sun, Nov 2,New York,L31-28 OT,Pennington  281,Martin  108,Moss  121
12,Sun, Nov 23,Jacksonville,W13-10,Pennington  236,Martin  56,Becht  63
13,Mon, Dec 1,Tennessee,W24-17,Pennington  231,Martin  67,Conway  78
15,Sun, Dec 14,Pittsburgh,W6-0,Pennington  144,Martin  174,Martin  54
16,Sat, Dec 20,New England,L21-16,Pennington  229,Martin  89,Moss  52
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 10,Cincinnati,W28-13,Box Score
1,Sat, Aug 16,New Orleans,L22-17,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Cincinnati,W31-24,Pennington  224,Martin  196,McCareins  66
#3,BYE WEEK
5,Sun, Oct 10,Buffalo,W16-14,Pennington  304,Martin  77,Chrebet  90
6,Sun, Oct 17,San Francisco,W22-14,Pennington  222,Martin  111,McCareins  56
8,Mon, Nov 1,Miami,W41-14,Pennington  189,Martin Jordan  115,McCareins  56
10,Sun, Nov 14,Baltimore,L20-17 OT,Carter  175,Martin  119,Moss  75
13,Sun, Dec 5,Houston,W29-7,Pennington  155,Martin  134,McCareins  47
15,Sun, Dec 19,Seattle,W37-14,Pennington  253,Martin  134,Sowell  83
16,Sun, Dec 26,New England,L23-7,Pennington  252,Martin  33,McCareins  76
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 27,New York,W17-10,Box Score
3,Fri, Sep 3,Philadelphia,W28-27,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Miami,W17-7,Pennington  190,Martin  72,McCareins  87
3,Sun, Sep 25,Jacksonville,L26-20 OT,Pennington  76,Martin  67,Baker  45
5,Sun, Oct 9,Tampa Bay,W14-12,Testaverde  163,Martin  59,Coles  89
#8,BYE WEEK
9,Sun, Nov 6,San Diego,L31-26,Bollinger  106,Martin  72,Coles  64
12,Sun, Nov 27,New Orleans,L21-19,Bollinger  251,Martin  91,Cotchery  72
14,Sun, Dec 11,Oakland,W26-10,Bollinger  119,Houston  74,McCareins  45
16,Mon, Dec 26,New England,L31-21,Bollinger  100,Blaylock  20,Coles  71
17,Sun, Jan 1,Buffalo,W30-26,Bollinger  153,Houston  55,Coles  79
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 12,Detroit,W10-3,Box Score
1,Fri, Aug 19,Minnesota,W28-21,Box Score
#2006 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,New England,L24-17,Pennington  306,Barlow  42,Cotchery  121
4,Sun, Oct 1,Indianapolis,L31-28,Pennington  207,Houston  49,Coles  81
6,Sun, Oct 15,Miami,W20-17,Pennington  175,Washington  58,Coles  106
7,Sun, Oct 22,Detroit,W31-24,Pennington  189,Washington  129,Cotchery  79
#9,BYE WEEK
11,Sun, Nov 19,Chicago,L10-0,Pennington  162,Houston  50,Coles  80
12,Sun, Nov 26,Houston,W26-11,Pennington  286,Washington  17,Coles  111
14,Sun, Dec 10,Buffalo,L31-13,Pennington  182,Washington  55,Coles  67
17,Sun, Dec 31,Oakland,W23-3,Pennington  157,Washington  53,Cotchery  53
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 25,New York,L13-7,Box Score
3,Fri, Sep 1,Philadelphia,W20-17,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,New England,L38-14,Pennington  167,Jones  42,Coles  59
3,Sun, Sep 23,Miami,W31-28,Pennington  124,Jones  110,Cotchery  54
6,Sun, Oct 14,Philadelphia,L16-9,Pennington  128,Jones  130,Cotchery  71
8,Sun, Oct 28,Buffalo,L13-3,Pennington  106,Jones  70,Cotchery  47
9,Sun, Nov 4,Washington,L23-20 OT,Clemens  226,Jones  49,Cotchery  90
#10,BYE WEEK
11,Sun, Nov 18,Pittsburgh,W19-16 OT,Clemens  162,Jones  117,Coles  56
14,Sun, Dec 9,Cleveland,L24-18,Clemens  286,Jones  106,Cotchery  119
17,Sun, Dec 30,Kansas City,W13-10 OT,Clemens  115,Jones  98,Cotchery  76
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 10,Atlanta,W31-16,Box Score
1,Fri, Aug 17,Minnesota,L37-20,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,New England,L19-10,Favre  181,Jones  70,Coles  72
4,Sun, Sep 28,Arizona,W56-35,Favre  289,Jones  46,Coles  105
#5,BYE WEEK
6,Sun, Oct 12,Cincinnati,W26-14,Favre  189,Jones  65,Cotchery  85
8,Sun, Oct 26,Kansas City,W28-24,Favre  290,Washington  67,Cotchery  102
10,Sun, Nov 9,St. Louis,W47-3,Favre  167,Jones  149,Keller  107
13,Sun, Nov 30,Denver,L34-17,Favre  247,Jones  138,Keller  77
15,Sun, Dec 14,Buffalo,W31-27,Favre  207,Jones  78,Coles  82
17,Sun, Dec 28,Miami,L24-17,Favre  233,Washington  60,Coles  88
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Washington,L13-10,Box Score
3,Sat, Aug 23,New York,W10-7,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,New England,W16-9,Sanchez  163,Washington  58,Cotchery  87
3,Sun, Sep 27,Tennessee,W24-17,Sanchez  171,Washington  46,Cotchery  108
6,Sun, Oct 18,Buffalo,L16-13 OT,Sanchez  119,Jones  210,Washington  46
8,Sun, Nov 1,Miami,L30-25,Sanchez  265,Jones  102,Keller  76
#9,BYE WEEK
10,Sun, Nov 15,Jacksonville,L24-22,Sanchez  212,Jones  77,Edwards  79
12,Sun, Nov 29,Carolina,W17-6,Sanchez  154,Jones  75,Keller  68
15,Sun, Dec 20,Atlanta,L10-7,Sanchez  226,Jones  52,Edwards  105
17,Sun, Jan 3,Cincinnati,W37-0,Sanchez  63,Smith  92,Cotchery  39
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 14,St. Louis,L23-20,Box Score
4,Thu, Sep 3,Philadelphia,W38-27,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 13,Baltimore,L10-9,Sanchez  74,Tomlinson  62,Cotchery  18
2,Sun, Sep 19,New England,W28-14,Sanchez  220,Tomlinson  76,Keller  115
