#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 12,New York,W30-10,Gannon  283,Garner  93,Porter  123
CONF,Sun, Jan 19,Tennessee,W41-24,Gannon  286,Gannon  41,Rice  79
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Seattle,W31-17
#3,BYE WEEK
4,Sun, Sep 29,Tennessee,W52-25,Gannon  381,Garner  57,Rice  144
7,Sun, Oct 20,San Diego,L27-21 OT,Gannon  361,Garner  24,Rice  86
9,Sun, Nov 3,San Francisco,L23-20 OT,Gannon  164,Garner  52,Rice  74
11,Sun, Nov 17,New England,W27-20,Gannon  297,Garner  57,Brown  71
13,Mon, Dec 2,New York,W26-20,Gannon  342,Garner  52,Brown  90
16,Sun, Dec 22,Denver,W28-16,Gannon  201,Garner Wheatley  61,Garner  91
17,Sat, Dec 28,Kansas City,W24-0,Gannon  79,Garner  135,Brown  31
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 24,San Francisco,W17-10,Box Score
3,Thu, Aug 29,Arizona,W31-3,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Cincinnati,W23-20,Gannon  103,Garner  63,Rice  40
4,Sun, Sep 28,San Diego,W34-31 OT,Gannon  348,Garner  70,Rice  126
7,Mon, Oct 20,Kansas City,L17-10,Tuiasosopo  224,Garner Wheatley  32,Rice Garner  71
#8,BYE WEEK
10,Sun, Nov 9,New York,L27-24 OT,Mirer  186,Wheatley  75,Rice  41
11,Sun, Nov 16,Minnesota,W28-18,Mirer  194,Wheatley  121,Santiago  51
13,Sun, Nov 30,Denver,L22-8,Mirer  153,Wheatley  85,Porter  49
15,Sun, Dec 14,Baltimore,W20-12,Mirer  186,Wheatley  39,Rice  48
16,Mon, Dec 22,Green Bay,L41-7,Mirer  114,Wheatley  56,Rice  159
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 8,St. Louis,W7-6,Box Score
2,Fri, Aug 22,Minnesota,L21-6,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Buffalo,W13-10,Gannon  209,Gannon Zereoue  24,Curry  89
3,Sun, Sep 26,Tampa Bay,W30-20,Collins  228,Wheatley  102,Porter  84
6,Sun, Oct 17,Denver,L31-3,Collins  136,Zereoue  34,Anderson  34
7,Sun, Oct 24,New Orleans,L31-26,Collins  350,Zereoue  70,Porter  113
#10,BYE WEEK
11,Sun, Nov 21,San Diego,L23-17,Collins  227,Wheatley  42,Porter  63
13,Sun, Dec 5,Kansas City,L34-27,Collins  343,Zereoue  15,Curry  141
15,Sun, Dec 19,Tennessee,W40-35,Collins  371,Crockett  27,Porter  148
17,Sun, Jan 2,Jacksonville,L13-6,Collins  142,Crockett  134,Porter  35
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 21,Dallas,L21-20,Box Score
3,Thu, Sep 2,St. Louis,W28-24,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Kansas City,L23-17,Collins  263,Jordan  59,Moss  127
4,Sun, Oct 2,Dallas,W19-13,Collins  218,Jordan  126,Moss  123
#5,BYE WEEK
6,Sun, Oct 16,San Diego,L27-14,Collins  292,Jordan  36,Gabriel  84
7,Sun, Oct 23,Buffalo,W38-17,Collins  261,Jordan  122,Gabriel  101
10,Sun, Nov 13,Denver,L31-17,Collins  310,Jordan  48,Moss  87
12,Sun, Nov 27,Miami,L33-21,Collins  226,Jordan  97,Porter  57
15,Sun, Dec 18,Cleveland,L9-7,Collins  132,Jordan  132,Jordan  40
17,Sat, Dec 31,New York,L30-21,Collins  331,Crockett  27,Moss  116
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 26,Arizona,L17-16,Box Score
3,Thu, Sep 1,New Orleans,W13-6,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 11,San Diego,L27-0,Brooks  68,Fargas  35,Moss  47
#3,BYE WEEK
4,Sun, Oct 1,Cleveland,L24-21,Walter  68,Jordan  128,Curry  27
7,Sun, Oct 22,Arizona,W22-9,Walter  263,Fargas  66,Moss  129
8,Sun, Oct 29,Pittsburgh,W20-13,Walter  51,Fargas  55,Moss  20
10,Sun, Nov 12,Denver,L17-13,Walter  214,Crockett  40,Williams  61
13,Sun, Dec 3,Houston,L23-14,Brooks  238,Fargas  49,Lee  57
15,Sun, Dec 17,St. Louis,L20-0,Walter  131,Fargas  43,Curry  87
16,Sat, Dec 23,Kansas City,L20-9,Walter  226,Fargas  90,Curry  106
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sun, Aug 20,San Francisco,W23-7,Box Score
2,Fri, Aug 25,Detroit,W21-3,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Detroit,L36-21,McCown  313,Jordan  70,Curry  133
3,Sun, Sep 23,Cleveland,W26-24,Culpepper  118,Jordan  121,Curry  62
#5,BYE WEEK
7,Sun, Oct 21,Kansas City,L12-10,Culpepper  228,Jordan  29,Porter  59
9,Sun, Nov 4,Houston,L24-17,McCown  158,Fargas  104,Porter  55
10,Sun, Nov 11,Chicago,L17-6,McCown  108,Fargas  81,Miller  43
13,Sun, Dec 2,Denver,W34-20,McCown  141,Fargas  146,Miller  58
15,Sun, Dec 16,Indianapolis,L21-14,McCown  94,Fargas  89,Porter  32
17,Sun, Dec 30,San Diego,L30-17,Russell  224,Rhodes  122,Miller  84
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 11,Arizona,W27-23,Box Score
2,Fri, Aug 24,St. Louis,W20-10,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 8,Denver,L41-14,Russell  180,Fargas  97,Griffith  39
4,Sun, Sep 28,San Diego,L28-18,Russell  277,Bush  48,Miller  95
#5,BYE WEEK
7,Sun, Oct 19,New York,W16-13 OT,Russell  203,Fargas  74,Walker  75
9,Sun, Nov 2,Atlanta,L24-0,Russell  31,Russell  46,Bush  15
10,Sun, Nov 9,Carolina,L17-6,Walter  143,Fargas  89,Bush  43
13,Sun, Nov 30,Kansas City,L20-13,Russell  132,Fargas  82,Miller  79
15,Sun, Dec 14,New England,L49-26,Russell  242,Fargas  70,McFadden  68
16,Sun, Dec 21,Houston,W27-16,Russell  236,Fargas  93,Miller  70
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 8,San Francisco,W18-6,Box Score
