#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 11,Atlanta,W20-6,McNabb  247,Staley  63,Thrash  77
CONF,Sun, Jan 19,Tampa Bay,L27-10,McNabb  243,Staley  61,Freeman  66
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,Dallas,W44-13,McNabb  287,McNabb  67,Freeman  118
4,Sun, Sep 29,Houston,W35-17,McNabb  259,Staley  33,Pinkston  70
#6,BYE WEEK
7,Sun, Oct 20,Tampa Bay,W20-10,McNabb  127,Staley  152,Pinkston  61
8,Mon, Oct 28,New York,W17-3,McNabb  137,Staley  126,Thrash  69
10,Sun, Nov 10,Indianapolis,L35-13,McNabb  281,McNabb  62,Freeman  84
11,Sun, Nov 17,Arizona,W38-14,McNabb  255,Staley  135,Staley  82
13,Sun, Dec 1,St. Louis,W10-3,Feeley  181,Levens  64,Pinkston  64
15,Sun, Dec 15,Washington,W34-21,Feeley  220,Staley  62,Martin  59
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Green Bay,W20-13,Box Score
2,Fri, Aug 23,Baltimore,L13-12,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 11,Green Bay,W20-17 OT,McNabb  248,McNabb  107,Pinkston  95
CONF,Sun, Jan 18,Carolina,L14-3,McNabb  100,Staley  79,Lewis  69
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 8,Tampa Bay,L17-0,McNabb  148,McNabb  55,Staley Thrash  46
2,Sun, Sep 14,New England,L31-10,McNabb  186,McNabb  54,Thrash  80
#3,BYE WEEK
5,Sun, Oct 5,Washington,W27-25,McNabb  157,Westbrook  64,Mitchell Smith  39
8,Sun, Oct 26,New York,W24-17,McNabb  141,Buckhalter  100,Smith  32
11,Sun, Nov 16,New York,W28-10,McNabb  314,Westbrook  48,Mitchell Westbrook  60
12,Sun, Nov 23,New Orleans,W33-20,McNabb  259,Staley  77,Pinkston  48
14,Sun, Dec 7,Dallas,W36-10,McNabb  240,Buckhalter  115,Mitchell  58
16,Sun, Dec 21,San Francisco,L31-28 OT,McNabb  238,Staley  53,Pinkston  121
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 22,New England,L24-12,Box Score
