#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Houston,W24-3,Brees  163,Tomlinson  84,Conway  113
4,Sun, Sep 29,New England,W21-14,Brees  104,Tomlinson  217,Conway  69
6,Sun, Oct 13,Kansas City,W35-34,Brees  319,Tomlinson  78,Conway  129
#8,BYE WEEK
9,Sun, Nov 3,New York,L44-13,Brees  192,Tomlinson  60,Alexander  84
11,Sun, Nov 17,San Francisco,W20-17 OT,Brees  336,Tomlinson  88,Conway  152
13,Sun, Dec 1,Denver,W30-27 OT,Brees  217,Tomlinson  220,Tomlinson  51
14,Sun, Dec 8,Oakland,L27-7,Brees  239,Tomlinson  57,Parker  96
17,Sun, Dec 29,Seattle,L31-28 OT,Brees  332,Tomlinson  67,Alexander  129
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Arizona,L24-17,Box Score
1,Fri, Aug 16,Seattle,W24-14,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Denver,L37-13,Brees  182,Tomlinson  93,Parker  59
3,Sun, Sep 21,Baltimore,L24-10,Brees  270,Tomlinson  105,Boston  91
#6,BYE WEEK
8,Mon, Oct 27,Miami,L26-10,Brees  190,Tomlinson  62,Boston  82
10,Sun, Nov 9,Minnesota,W42-28,Flutie  248,Tomlinson  162,Boston  82
12,Sun, Nov 23,Cincinnati,L34-27,Flutie  210,Tomlinson  96,Boston  139
13,Sun, Nov 30,Kansas City,L28-24,Flutie  213,Tomlinson  106,Boston  85
15,Sun, Dec 14,Green Bay,L38-21,Brees  363,Tomlinson  51,Tomlinson  144
17,Sun, Dec 28,Oakland,W21-14,Brees  97,Tomlinson  243,Boston  43
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 16,Arizona,L16-10,Box Score
3,Fri, Aug 29,San Francisco,W24-3,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 8,New York,L20-17 OT,Brees  319,Tomlinson  80,Parker  93
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
