#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Arizona,L24-13,Dilfer  352,Alexander  37,Jackson  174
4,Sun, Sep 29,Minnesota,W48-23,Dilfer  222,Alexander  139,Alexander  92
#5,BYE WEEK
6,Mon, Oct 14,San Francisco,L28-21,Dilfer  212,Alexander  96,Engram  85
9,Sun, Nov 3,Washington,L14-3,Hasselbeck  264,Alexander  67,Robinson  100
11,Sun, Nov 17,Denver,L31-9,Hasselbeck  180,Alexander  18,Mili  41
12,Sun, Nov 24,Kansas City,W39-32,Hasselbeck  362,Alexander  145,Robinson  168
14,Sun, Dec 8,Philadelphia,L27-20,Hasselbeck  223,Alexander  123,Engram  48
16,Sun, Dec 22,St. Louis,W30-10,Hasselbeck  303,Alexander  79,Robinson  94
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Indianapolis,L28-10,Box Score
2,Sat, Aug 24,Kansas City,W17-14,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,New Orleans,W27-10,Hasselbeck  137,Alexander  108,Robinson  56
3,Sun, Sep 21,St. Louis,W24-23,Hasselbeck  256,Alexander  58,Robinson  95
#4,BYE WEEK
6,Sun, Oct 12,San Francisco,W20-19,Hasselbeck  207,Alexander  77,Jackson  55
7,Sun, Oct 19,Chicago,W24-17,Hasselbeck  215,Alexander  101,Engram  73
9,Sun, Nov 2,Pittsburgh,W23-16,Hasselbeck  215,Alexander  48,Jackson  85
11,Sun, Nov 16,Detroit,W35-14,Hasselbeck  208,Alexander  114,Engram  59
13,Sun, Nov 30,Cleveland,W34-7,Hasselbeck  328,Alexander  127,Robinson  122
16,Sun, Dec 21,Arizona,W28-10,Hasselbeck  179,Alexander  135,Mili  70
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,San Diego,W20-7,Box Score
2,Sat, Aug 23,Kansas City,W42-31,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 8,St. Louis,L27-20,Hasselbeck  341,Alexander  40,Jackson  128
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,San Francisco,W34-0,Hasselbeck  254,Alexander  52,Jackson  97
#4,BYE WEEK
5,Sun, Oct 10,St. Louis,L33-27 OT,Hasselbeck  216,Alexander  150,Jackson  91
8,Sun, Oct 31,Carolina,W23-17,Hasselbeck  201,Alexander  195,Jackson  71
11,Sun, Nov 21,Miami,W24-17,Dilfer  196,Alexander  96,Rice  86
12,Sun, Nov 28,Buffalo,L38-9,Hasselbeck  185,Alexander  39,Jackson  45
13,Mon, Dec 6,Dallas,L43-39,Hasselbeck  414,Alexander  83,Rice  145
16,Sun, Dec 26,Arizona,W24-21,Dilfer  128,Alexander  154,Jackson  101
17,Sun, Jan 2,Atlanta,W28-26,Hasselbeck  191,Alexander  80,Engram  79
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 21,Denver,L19-3,Box Score
3,Thu, Sep 2,Minnesota,W23-21,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 14,Washington,W20-10,Hasselbeck  215,Morris  49,Jackson  143
CONF,Sun, Jan 22,Carolina,W34-14,Hasselbeck  219,Alexander  132,Jackson  75
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Atlanta,W21-18,Hasselbeck  281,Alexander  144,Jackson  131
3,Sun, Sep 25,Arizona,W37-12,Hasselbeck  242,Alexander  140,Jackson  125
6,Sun, Oct 16,Houston,W42-10,Hasselbeck  168,Alexander  141,Warrick  53
7,Sun, Oct 23,Dallas,W13-10,Hasselbeck  224,Alexander  61,Stevens  60
#8,BYE WEEK
10,Sun, Nov 13,St. Louis,W31-16,Hasselbeck  243,Alexander  165,Hackett  78
12,Sun, Nov 27,New York,W24-21 OT,Hasselbeck  249,Alexander  110,Jurevicius  137
14,Sun, Dec 11,San Francisco,W41-3,Hasselbeck  226,Alexander  108,Engram  65
16,Sat, Dec 24,Indianapolis,W28-13,Hasselbeck  168,Alexander  139,Stevens  39
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 22,Dallas,L18-10,Box Score
3,Fri, Sep 2,Minnesota,L23-21,Box Score
#2006 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 6,Dallas,W21-20,Hasselbeck  240,Alexander  69,Engram  88
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 17,Arizona,W21-10,Hasselbeck  221,Alexander  89,Jackson  127
3,Sun, Sep 24,New York,W42-30,Hasselbeck  227,Alexander  47,Engram  62
#5,BYE WEEK
7,Sun, Oct 22,Minnesota,L31-13,Wallace  134,Morris  49,Jackson  136
9,Mon, Nov 6,Oakland,W16-0,Wallace  176,Morris  138,Branch  61
10,Sun, Nov 12,St. Louis,W24-22,Wallace  161,Morris  124,Jackson  85
12,Mon, Nov 27,Green Bay,W34-24,Hasselbeck  157,Alexander  201,Hackett  67
15,Thu, Dec 14,San Francisco,L24-14,Hasselbeck  220,Alexander  73,Hackett  87
16,Sun, Dec 24,San Diego,L20-17,Hasselbeck  189,Alexander  140,Engram  65
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 12,Dallas,L13-3,Box Score
3,Thu, Aug 31,Oakland,W30-7,Box Score
#2007 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 5,Washington,W35-14,Hasselbeck  229,Alexander  46,Hackett  101
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Tampa Bay,W20-6,Hasselbeck  222,Alexander  105,Engram  64
3,Sun, Sep 23,Cincinnati,W24-21,Hasselbeck  248,Alexander  100,Branch  77
6,Sun, Oct 14,New Orleans,L28-17,Hasselbeck  362,Weaver  40,Engram  120
7,Sun, Oct 21,St. Louis,W33-6,Hasselbeck  195,Alexander  47,Engram  73
#8,BYE WEEK
10,Mon, Nov 12,San Francisco,W24-0,Hasselbeck  278,Morris  87,Hackett  101
11,Sun, Nov 18,Chicago,W30-23,Hasselbeck  337,Morris  87,Hackett  136
14,Sun, Dec 9,Arizona,W42-21,Hasselbeck  272,Alexander  38,Weaver  56
16,Sun, Dec 23,Baltimore,W27-6,Hasselbeck  199,Alexander  73,Engram  69
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 25,Minnesota,W30-13,Box Score
3,Thu, Aug 30,Oakland,W19-14,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,San Francisco,L33-30 OT,Hasselbeck  189,Jones  127,Carlson  78
3,Sun, Sep 21,St. Louis,W37-13,Hasselbeck  172,Jones  140,McMullen  76
#4,BYE WEEK
6,Sun, Oct 12,Green Bay,L27-17,Frye  83,Jones  44,Robinson  23
9,Sun, Nov 2,Philadelphia,L26-7,Wallace  169,Morris  43,Robinson  105
11,Sun, Nov 16,Arizona,L26-20,Hasselbeck  170,Jones  19,Branch  54
12,Sun, Nov 23,Washington,L20-17,Hasselbeck  103,Morris  103,Engram  34
14,Sun, Dec 7,New England,L24-21,Wallace  212,Wallace  47,Branch  88
16,Sun, Dec 21,New York,W13-3,Wallace  175,Morris  116,Engram  65
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Chicago,W29-26 OT,Box Score
4,Fri, Aug 29,Oakland,W23-16,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,St. Louis,W28-0,Hasselbeck  279,Jones  117,Carlson  95
3,Sun, Sep 27,Chicago,L25-19,Wallace  261,Jones  98,Burleson  109
5,Sun, Oct 11,Jacksonville,W41-0,Hasselbeck  241,James  46,Burleson  98
6,Sun, Oct 18,Arizona,L27-3,Hasselbeck  112,Jones  5,Carlson  55
#7,BYE WEEK
9,Sun, Nov 8,Detroit,W32-20,Hasselbeck  329,Jones  36,Jones  78
13,Sun, Dec 6,San Francisco,W20-17,Hasselbeck  198,Jones  67,Burleson  54
15,Sun, Dec 20,Tampa Bay,L24-7,Hasselbeck  256,Jones  65,Carlson  86
17,Sun, Jan 3,Tennessee,L17-13,Hasselbeck  175,Forsett  74,Branch  77
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,Denver,W27-13,Box Score
4,Thu, Sep 3,Oakland,W31-21,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 8,New Orleans,W41-36,Hasselbeck  272,Lynch  131,Stokley  73
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,San Francisco,W31-6,Hasselbeck  170,Forsett  43,Williams  64
3,Sun, Sep 26,San Diego,W27-20,Hasselbeck  220,Forsett  63,Carlson  61
#5,BYE WEEK
7,Sun, Oct 24,Arizona,W22-10,Hasselbeck  192,Lynch  89,Williams  87
9,Sun, Nov 7,New York,L41-7,Whitehurst  113,Lynch  48,Obomanu  36
12,Sun, Nov 28,Kansas City,L42-24,Hasselbeck  282,Lynch  20,Obomanu  159
13,Sun, Dec 5,Carolina,W31-14,Hasselbeck  229,Lynch  83,Morrah  69
15,Sun, Dec 19,Atlanta,L34-18,Whitehurst  83,Lynch  60,Williams  66
17,Sun, Jan 2,St. Louis,W16-6,Whitehurst  192,Lynch  75,Martin  85
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Tennessee,W20-18,Box Score
2,Sat, Aug 21,Green Bay,L27-24,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 25,Arizona,W13-10,Jackson  171,Lynch  73,Rice  109
4,Sun, Oct 2,Atlanta,L30-28,Jackson  319,Lynch  24,Baldwin  84
#6,BYE WEEK
8,Sun, Oct 30,Cincinnati,L34-12,Jackson  323,Washington  34,Obomanu  107
10,Sun, Nov 13,Baltimore,W22-17,Jackson  217,Lynch  109,Lynch  58
12,Sun, Nov 27,Washington,L23-17,Jackson  144,Lynch  111,Baldwin  60
13,Thu, Dec 1,Philadelphia,W31-14,Jackson  190,Lynch  148,Miller  53
14,Mon, Dec 12,St. Louis,W30-13,Jackson  224,Lynch  115,Baldwin  93
16,Sat, Dec 24,San Francisco,L19-17,Jackson  163,Lynch  107,Lockette  44
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 20,Minnesota,L20-7,Box Score
4,Fri, Sep 2,Oakland,W20-3,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Dallas,W27-7,Wilson  151,Lynch  122,McCoy  41
3,Mon, Sep 24,Green Bay,W14-12,Wilson  130,Lynch  98,Tate  68
6,Sun, Oct 14,New England,W24-23,Wilson  293,Lynch  41,Rice  81
9,Sun, Nov 4,Minnesota,W30-20,Wilson  173,Lynch  124,Rice  54
10,Sun, Nov 11,New York,W28-7,Wilson  188,Lynch  124,Rice  54
#11,BYE WEEK
14,Sun, Dec 9,Arizona,W58-0,Wilson  148,Lynch  128,McCoy  105
16,Sun, Dec 23,San Francisco,W42-13,Wilson  171,Lynch  111,Baldwin  53
17,Sun, Dec 30,St. Louis,W20-13,Wilson  250,Lynch  100,Tate  105
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 11,Tennessee,W27-17,Box Score
4,Thu, Aug 30,Oakland,W21-3,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 11,New Orleans,W23-15,Wilson  103,Lynch  140,Baldwin  30
CONF,Sun, Jan 19,San Francisco,W23-17,Wilson  215,Lynch  109,Baldwin  106
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,San Francisco,W29-3,Wilson  142,Lynch  98,Baldwin  51
3,Sun, Sep 22,Jacksonville,W45-17,Wilson  202,Lynch  69,Tate  88
6,Sun, Oct 13,Tennessee,W20-13,Wilson  257,Lynch  77,Lynch  78
9,Sun, Nov 3,Tampa Bay,W27-24 OT,Wilson  217,Lynch  125,Baldwin  75
11,Sun, Nov 17,Minnesota,W41-20,Wilson  230,Lynch  54,Miller  69
#12,BYE WEEK
13,Mon, Dec 2,New Orleans,W34-7,Wilson  310,Wilson  47,Miller  86
16,Sun, Dec 22,Arizona,L17-10,Wilson  108,Lynch  71,Kearse  38
17,Sun, Dec 29,St. Louis,W27-9,Wilson  172,Lynch  97,Tate  129
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 17,Denver,W40-10,Box Score
4,Thu, Aug 29,Oakland,W22-6,Box Score
