#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 5,New York,W39-38,Garcia  331,Garcia  60,Owens  177
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Denver,L24-14,Garcia  205,Barlow  47,Johnson  69
3,Sun, Sep 22,Washington,W20-10,Garcia  84,Hearst  97,Owens  33
#4,BYE WEEK
5,Sun, Oct 6,St. Louis,W37-13,Garcia  214,Hearst  116,Owens  89
8,Sun, Oct 27,Arizona,W38-28,Garcia  252,Barlow  51,Owens  132
10,Sun, Nov 10,Kansas City,W17-13,Garcia  175,Hearst  69,Owens  51
12,Mon, Nov 25,Philadelphia,L38-17,Garcia  284,Hearst  65,Owens  166
13,Sun, Dec 1,Seattle,W31-24,Garcia  164,Hearst  124,Streets  66
15,Sun, Dec 15,Green Bay,L20-14,Garcia  156,Hearst  51,Owens  75
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,Kansas City,L17-14 OT,Box Score
3,Wed, Aug 28,San Diego,W27-3,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Chicago,W49-7,Garcia  229,Barlow  62,Owens  112
3,Sun, Sep 21,Cleveland,L13-12,Garcia  198,Garcia  40,Owens  90
5,Sun, Oct 5,Detroit,W24-17,Garcia  192,Hearst  74,Owens  79
7,Sun, Oct 19,Tampa Bay,W24-7,Garcia  253,Hearst  117,Owens  152
9,Sun, Nov 2,St. Louis,W30-10,Rattay  236,Hearst  80,Beasley  46
#10,BYE WEEK
11,Mon, Nov 17,Pittsburgh,W30-14,Rattay  254,Barlow  99,Owens  155
14,Sun, Dec 7,Arizona,W50-14,Garcia  252,Barlow  154,Owens  92
