#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,New York,L26-21,Warner  266,Faulk  87,Holt  88
4,Sun, Sep 29,Dallas,L13-10,Martin  262,Faulk  73,Holt  106
6,Sun, Oct 13,Oakland,W28-13,Bulger  186,Faulk  158,Holt  80
7,Sun, Oct 20,Seattle,W37-20,Bulger  265,Faulk  183,Holt  71
#8,BYE WEEK
10,Sun, Nov 10,San Diego,W28-24,Bulger  453,Faulk  36,Bruce  163
11,Mon, Nov 18,Chicago,W21-16,Bulger  347,Gordon  45,Bruce  141
15,Sun, Dec 15,Arizona,W30-28,Bulger  319,Faulk  39,Holt  141
17,Mon, Dec 30,San Francisco,W31-20,Martin  245,Faulk  43,Holt  77
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 16,Chicago,L19-17,Box Score
2,Thu, Aug 22,San Diego,L31-10,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 10,Carolina,L29-23 2OT,Bulger  332,Faulk  53,Bruce  116
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,San Francisco,W27-24 OT,Bulger  236,Faulk  57,Holt  64
4,Sun, Sep 28,Arizona,W37-13,Bulger  272,Gordon  81,Holt  133
#5,BYE WEEK
6,Mon, Oct 13,Atlanta,W36-0,Bulger  352,Gordon  92,Holt  161
7,Sun, Oct 19,Green Bay,W34-24,Bulger  247,Harris  85,Bruce  129
10,Sun, Nov 9,Baltimore,W33-22,Bulger  110,Faulk  48,Holt Looker  38
13,Sun, Nov 30,Minnesota,W48-17,Bulger  222,Faulk  108,Holt  102
15,Sun, Dec 14,Seattle,W27-22,Bulger  236,Faulk  85,Holt  100
16,Sun, Dec 21,Cincinnati,W27-10,Bulger  229,Faulk  121,Holt  124
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 18,Tampa Bay,W26-16,Box Score
3,Thu, Aug 28,Kansas City,L22-6,Box Score
#2004 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Arizona,W17-10,Bulger  272,Faulk  128,Bruce  112
3,Sun, Sep 26,New Orleans,L28-25 OT,Bulger  358,Faulk  44,Bruce  134
6,Mon, Oct 18,Tampa Bay,W28-21,Bulger  264,Jackson  48,Holt  124
#8,BYE WEEK
9,Sun, Nov 7,New England,L40-22,Bulger  285,Faulk  66,Holt  111
10,Sun, Nov 14,Seattle,W23-12,Bulger  262,Faulk  139,Bruce  104
13,Sun, Dec 5,San Francisco,W16-6,Chandler  216,Jackson  119,Holt  160
16,Mon, Dec 27,Philadelphia,W20-7,Bulger  225,Jackson  148,Bruce  98
17,Sun, Jan 2,New York,W32-29 OT,Bulger  450,Jackson  29,Holt  116
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Thu, Aug 12,Chicago,L13-10 OT,Box Score
2,Fri, Aug 27,Washington,W28-3,Box Score
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 25,Tennessee,W31-27,Bulger  292,Faulk  50,Holt  163
5,Sun, Oct 9,Seattle,L37-31,Bulger  336,Jackson  77,Holt  126
7,Sun, Oct 23,New Orleans,W28-17,Martin  198,Jackson  97,Curtis  69
8,Sun, Oct 30,Jacksonville,W24-21,Martin  200,Jackson  179,Curtis  105
#9,BYE WEEK
11,Sun, Nov 20,Arizona,L38-28,Bulger  224,Jackson  6,Holt  129
13,Sun, Dec 4,Washington,L24-9,Fitzpatrick  163,Jackson  24,Holt  75
15,Sun, Dec 18,Philadelphia,L17-16,Fitzpatrick  69,Faulk  87,McDonald  51
16,Sat, Dec 24,San Francisco,L24-20,Martin  354,Jackson  28,Holt  163
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 12,Chicago,W17-13,Box Score
3,Fri, Sep 2,Kansas City,W27-23,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 10,Denver,W18-10,Bulger  217,Jackson  121,Holt  80
4,Sun, Oct 1,Detroit,W41-34,Bulger  328,Jackson  81,Holt  102
6,Sun, Oct 15,Seattle,L30-28,Bulger  360,Jackson  56,Holt  154
#7,BYE WEEK
9,Sun, Nov 5,Kansas City,L31-17,Bulger  354,Jackson  86,Jackson  133
12,Sun, Nov 26,San Francisco,W20-17,Bulger  201,Jackson  121,Jackson  71
13,Sun, Dec 3,Arizona,L34-20,Bulger  314,Jackson  96,Holt  115
14,Mon, Dec 11,Chicago,L42-27,Bulger  356,Jackson  81,Curtis  77
16,Sun, Dec 24,Washington,W37-31 OT,Bulger  388,Jackson  150,Bruce  148
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Thu, Aug 10,Indianapolis,W19-17,Box Score
1,Sat, Aug 19,Houston,L27-20,Box Score
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Carolina,L27-13,Bulger  167,Jackson  58,Holt  73
2,Sun, Sep 16,San Francisco,L17-16,Bulger  368,Jackson  60,Bruce  145
5,Sun, Oct 7,Arizona,L34-31,Frerotte  262,Leonard  102,Holt  89
8,Sun, Oct 28,Cleveland,L27-20,Bulger  310,Jackson  41,Holt  110
#9,BYE WEEK
12,Sun, Nov 25,Seattle,L24-19,Frerotte  161,Jackson  90,Bruce  63
13,Sun, Dec 2,Atlanta,W28-16,Frerotte  311,Jackson  96,Holt  135
15,Sun, Dec 16,Green Bay,L33-14,Bulger  219,Jackson  143,Bruce  72
16,Thu, Dec 20,Pittsburgh,L41-24,Bulger  208,Jackson  85,Bruce  87
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 18,San Diego,L30-13,Box Score
3,Thu, Aug 30,Kansas City,W10-3,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,New York,L41-13,Bulger  177,Jackson  53,Holt  76
4,Sun, Sep 28,Buffalo,L31-14,Green  236,Jackson  110,Jackson  78
#5,BYE WEEK
7,Sun, Oct 19,Dallas,W34-14,Bulger  163,Jackson  160,Avery  55
9,Sun, Nov 2,Arizona,L34-13,Bulger  186,Bulger  32,Stanley  80
12,Sun, Nov 23,Chicago,L27-3,Green  219,Darby  10,Holt  84
13,Sun, Nov 30,Miami,L16-12,Bulger  149,Jackson  94,Looker  52
15,Sun, Dec 14,Seattle,L23-20,Bulger  207,Jackson  91,Holt  64
16,Sun, Dec 21,San Francisco,L17-16,Bulger  227,Jackson  108,Darby  57
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,San Diego,W7-6,Box Score
3,Sat, Aug 23,Baltimore,W24-10,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 27,Green Bay,L36-17,Boller  164,Jackson  117,Jackson  46
5,Sun, Oct 11,Minnesota,L38-10,Boller  209,Jackson  84,Avery  87
7,Sun, Oct 25,Indianapolis,L42-6,Bulger  140,Jackson  134,Avery  58
#9,BYE WEEK
10,Sun, Nov 15,New Orleans,L28-23,Bulger  298,Jackson  131,Gibson  93
11,Sun, Nov 22,Arizona,L21-13,Bulger  215,Jackson  116,Avery  65
12,Sun, Nov 29,Seattle,L27-17,Boller  282,Jackson  89,Martin  60
15,Sun, Dec 20,Houston,L16-13,Null  173,Jackson  82,Jackson  41
17,Sun, Jan 3,San Francisco,L28-6,Null  57,Jackson  63,Avery  23
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 21,Atlanta,L20-13,Box Score
4,Thu, Sep 3,Kansas City,W17-9,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Arizona,L17-13,Bradford  253,Jackson  81,Clayton  119
3,Sun, Sep 26,Washington,W30-16,Bradford  235,Jackson  58,Clayton  85
4,Sun, Oct 3,Seattle,W20-3,Bradford  289,Jackson  70,Clayton  72
6,Sun, Oct 17,San Diego,W20-17,Bradford  198,Jackson  109,Alexander  72
8,Sun, Oct 31,Carolina,W20-10,Bradford  191,Jackson  59,Gibson  67
#9,BYE WEEK
11,Sun, Nov 21,Atlanta,L34-17,Bradford  233,Jackson  54,Amendola  63
15,Sun, Dec 19,Kansas City,L27-13,Bradford  181,Jackson  67,Amendola  60
16,Sun, Dec 26,San Francisco,W25-17,Bradford  292,Jackson  48,Alexander  99
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Minnesota,L28-7,Box Score
4,Thu, Sep 2,Baltimore,W27-21,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Philadelphia,L31-13,Bradford  188,Williams  91,Gibson  50
3,Sun, Sep 25,Baltimore,L37-7,Bradford  166,Williams  75,Gibson  55
4,Sun, Oct 2,Washington,L17-10,Bradford  164,Jackson  45,Alexander  46
#5,BYE WEEK
8,Sun, Oct 30,New Orleans,W31-21,Feeley  175,Jackson  159,Lloyd  53
11,Sun, Nov 20,Seattle,L24-7,Bradford  181,Jackson  42,Lloyd  67
12,Sun, Nov 27,Arizona,L23-20,Bradford  203,Jackson  64,Lloyd  74
15,Sun, Dec 18,Cincinnati,L20-13,Clemens  229,Jackson  71,Jackson  72
17,Sun, Jan 1,San Francisco,L34-27,Clemens  226,Jackson  76,Lloyd  100
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 7,Chicago,CANCELED
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 13,Indianapolis,W33-10,Box Score
2,Sat, Aug 20,Tennessee,W17-16,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Washington,W31-28,Bradford  310,Richardson  83,Amendola  160
4,Sun, Sep 30,Seattle,W19-13,Bradford  221,Jackson  55,Amendola  55
5,Thu, Oct 4,Arizona,W17-3,Bradford  141,Jackson  76,Givens  51
