#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 12,San Francisco,W31-6,Johnson  196,Alstott  60,Johnson  85
SB,Sun, Jan 26,Oakland,W48-21,Johnson  215,Pittman  124,Jurevicius  78
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,New Orleans,L26-20 OT
3,Mon, Sep 23,St. Louis,W26-14,Johnson  199,Pittman  53,Johnson  59
6,Sun, Oct 13,Cleveland,W17-3,Johnson  194,Alstott  126,Pittman  95
9,Sun, Nov 3,Minnesota,W38-24,Johnson  313,Stecker  59,Johnson  133
#10,BYE WEEK
11,Sun, Nov 17,Carolina,W23-10,Johnson  253,Pittman  57,Johnson  74
12,Sun, Nov 24,Green Bay,W21-7,Johnson  134,Pittman  50,Johnson  48
14,Sun, Dec 8,Atlanta,W34-10,Johnson  276,Alstott  95,Jurevicius  100
16,Mon, Dec 23,Pittsburgh,L17-7,Johnson  159,Alstott  28,Johnson  132
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Mon, Aug 12,Miami,W14-10,Box Score
2,Sat, Aug 24,Washington,L40-10,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Carolina,L12-9 OT,Johnson  339,Pittman  38,Johnson  102
#4,BYE WEEK
5,Mon, Oct 6,Indianapolis,L38-35 OT,Johnson  318,Pittman  106,McCardell  106
8,Sun, Oct 26,Dallas,W16-0,Johnson  151,Pittman  113,McCardell  68
9,Sun, Nov 2,New Orleans,L17-14,Johnson  323,Pittman  48,Johnson  123
11,Sun, Nov 16,Green Bay,L20-13,Johnson  149,Jones  136,McCardell  55
12,Mon, Nov 24,New York,W19-13,Johnson  269,Pittman  55,Lee  91
15,Sun, Dec 14,Houston,W16-3,Johnson  237,Jones  134,Lee  95
16,Sat, Dec 20,Atlanta,L30-28,Johnson  346,Jones  73,McCardell  122
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Sat, Aug 2,New York,W30-14,Box Score
2,Sat, Aug 23,Jacksonville,W10-6,Box Score
3,Thu, Aug 28,Houston,W34-3,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Seattle,L10-6,Simms  175,Garner  75,Clayton  61
4,Sun, Oct 3,Denver,L16-13,Johnson  162,Pittman  72,Clayton  91
7,Sun, Oct 24,Chicago,W19-7,Griese  163,Pittman  109,Clayton  62
#8,BYE WEEK
9,Sun, Nov 7,Kansas City,W34-31,Griese  296,Pittman  128,Clayton  90
11,Sun, Nov 21,San Francisco,W35-3,Griese  210,Pittman  106,Jurevicius  82
13,Sun, Dec 5,Atlanta,W27-0,Griese  131,Pittman  68,Galloway  63
15,Sun, Dec 19,New Orleans,L21-17,Griese  118,Pittman  131,Clayton  53
16,Sun, Dec 26,Carolina,L37-20,Griese  321,Pittman  41,Galloway  98
#2004 Preseason Schedule
WK,DATE,PONENT,TIME (ET),RESOURCES
HOF,Sat, Aug 14,Cincinnati,7:00 PM,Buy on StubHub
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Mon, Aug 16,Cincinnati,W20-6,Box Score
2,Sat, Aug 28,Miami,W17-10,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 7,Washington,L17-10,Simms  198,Williams  49,Galloway  69
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Buffalo,W19-3,Griese  136,Williams  128,Clayton  84
4,Sun, Oct 2,Detroit,W17-13,Griese  302,Pittman  30,Galloway  166
6,Sun, Oct 16,Miami,W27-13,Griese  120,Pittman  127,Galloway  96
#7,BYE WEEK
9,Sun, Nov 6,Carolina,L34-14,Simms  259,Williams  29,Galloway  83
10,Sun, Nov 13,Washington,W36-35,Simms  279,Alstott  21,Galloway  131
12,Sun, Nov 27,Chicago,L13-10,Simms  202,Williams  84,Galloway  138
16,Sat, Dec 24,Atlanta,W27-24 OT,Simms  285,Williams  150,Galloway  97
17,Sun, Jan 1,New Orleans,W27-13,Simms  143,Williams  81,Galloway  38
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 20,Jacksonville,L20-17,Box Score
3,Thu, Sep 1,Houston,W38-14,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 10,Baltimore,L27-0,Simms  133,Williams  22,Clayton  34
3,Sun, Sep 24,Carolina,L26-24,Simms  139,Williams  48,Smith  72
#4,BYE WEEK
6,Sun, Oct 15,Cincinnati,W14-13,Gradkowski  184,Williams  94,Galloway  67
7,Sun, Oct 22,Philadelphia,W23-21,Gradkowski  104,Williams  82,Clayton  30
9,Sun, Nov 5,New Orleans,L31-14,Gradkowski  185,Williams  39,Galloway  97
11,Sun, Nov 19,Washington,W20-17,Gradkowski  178,Williams  122,Galloway  64
14,Sun, Dec 10,Atlanta,L17-6,Gradkowski  121,Williams  48,Pittman  73
17,Sun, Dec 31,Seattle,L23-7,Rattay  185,Pittman  73,Galloway  118
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 11,New York,W16-3,Box Score
1,Sat, Aug 19,Miami,L13-10,Box Score
#2007 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 6,New York,L24-14,Garcia  207,Graham  63,Pittman  62
