#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 11,Pittsburgh,W34-31 OT,McNair  338,George  33,Wycheck  123
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Philadelphia,W27-24,McNair  269,George  42,Mason  109
3,Sun, Sep 22,Cleveland,L31-28 OT,McNair  107,George  59,George  35
5,Sun, Oct 6,Washington,L31-14,McNair  245,McNair George  26,Wycheck  79
6,Sun, Oct 13,Jacksonville,W23-14,McNair  226,George  113,Bennett  68
#7,BYE WEEK
10,Sun, Nov 10,Houston,W17-10,McNair  109,George  86,Mason  47
11,Sun, Nov 17,Pittsburgh,W31-23,McNair  257,George  79,Dyson  87
14,Sun, Dec 8,Indianapolis,W27-17,McNair  237,George  51,Mason  77
15,Mon, Dec 16,New England,W24-7,McNair  136,George  101,Mason  86
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 10,St. Louis,W28-26,Box Score
1,Thu, Aug 15,Oakland,W24-14,Box Score
#2003 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Oakland,W25-20
3,Sun, Sep 21,New Orleans,W27-12,McNair  252,George  100,Bennett  105
6,Sun, Oct 12,Houston,W38-17,McNair  421,George  60,Mason  177
#9,BYE WEEK
10,Sun, Nov 9,Miami,W31-7,McNair  201,Brown  46,Mason  98
11,Sun, Nov 16,Jacksonville,W10-3,McNair  166,George  73,Mason  98
14,Sun, Dec 7,Indianapolis,L29-27,McNair  235,George  51,McCareins  76
15,Sun, Dec 14,Buffalo,W28-26,Volek  295,George  67,Mason  137
17,Sun, Dec 28,Tampa Bay,W33-13,O'Donnell  232,George  87,Mason  90
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sat, Aug 9,Cleveland,W10-6,Box Score
1,Sat, Aug 16,Buffalo,W37-24,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Indianapolis,L31-17,McNair  273,Brown  152,Mason  104
3,Sun, Sep 26,Jacksonville,L15-12,McNair  143,Brown  101,Bennett  55
6,Sun, Oct 17,Houston,L20-10,McNair  210,Brown  52,Mason  74
8,Sun, Oct 31,Cincinnati,W27-20,Volek  210,Brown  147,Mason  85
#9,BYE WEEK
10,Sun, Nov 14,Chicago,L19-17 OT,Volek  334,Brown  62,Bennett  148
