#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Arizona,W31-23,Matthews  327,Davis  104,Gardner  131
2,Mon, Sep 16,Philadelphia,L37-7,Matthews  62,Davis  53,Gardner  63
#4,BYE WEEK
6,Sun, Oct 13,New Orleans,L43-27,Ramsey  320,Davis  51,Watson  74
8,Sun, Oct 27,Indianapolis,W26-21,Matthews  210,Davis  80,Thompson  63
12,Sun, Nov 24,St. Louis,W20-17,Wuerffel  235,Davis  88,Gardner  76
14,Sun, Dec 8,New York,L27-21,Ramsey  204,Davis  70,Thompson  122
16,Sun, Dec 22,Houston,W26-10,Ramsey  190,Betts  116,Thompson  73
17,Sun, Dec 29,Dallas,W20-14,Ramsey  209,Betts  98,Thompson  78
#2002 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Sat, Aug 3,San Francisco,W38-7,Box Score
1,Sun, Aug 18,Pittsburgh,W35-34,Box Score
3,Thu, Aug 29,New England,L28-14,Box Score
#2003 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Thu, Sep 4,New York,W16-13,Ramsey  185,Betts  77,Coles  106
3,Sun, Sep 21,New York,L24-21 OT,Ramsey  348,Canidate  46,Coles  105
4,Sun, Sep 28,New England,W20-17,Ramsey  147,Canidate  70,Coles  62
6,Sun, Oct 12,Tampa Bay,L35-13,Ramsey  211,Betts  37,Gardner  88
#8,BYE WEEK
10,Sun, Nov 9,Seattle,W27-20,Ramsey  232,Cartwright  81,Coles  125
13,Sun, Nov 30,New Orleans,L24-20,Hasselbeck  231,Canidate  115,Coles  88
15,Sun, Dec 14,Dallas,L27-0,Hasselbeck  56,Cartwright  94,Flemister  27
17,Sat, Dec 27,Philadelphia,L31-7,Hasselbeck  192,Cartwright  43,Coles  87
#2003 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 16,New England,L20-13,Box Score
2,Sat, Aug 23,Baltimore,W24-3,Box Score
#2004 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Tampa Bay,W16-10,Brunell  125,Portis  148,Gardner  61
3,Mon, Sep 27,Dallas,L21-18,Brunell  325,Portis  94,Gardner  167
5,Sun, Oct 10,Baltimore,L17-10,Brunell  83,Portis  53,Coles  25
#7,BYE WEEK
8,Sun, Oct 31,Green Bay,L28-14,Brunell  218,Portis  70,Coles  84
10,Sun, Nov 14,Cincinnati,L17-10,Ramsey  210,Portis  81,Coles  74
13,Sun, Dec 5,New York,W31-7,Ramsey  174,Portis  148,Coles  60
14,Sun, Dec 12,Philadelphia,L17-14,Ramsey  251,Portis  80,Coles  100
17,Sun, Jan 2,Minnesota,W21-18,Ramsey  216,Betts  118,Thrash  81
#2004 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
-1,Mon, Aug 9,Denver,W20-17,Box Score
HOF,Sat, Aug 14,Carolina,L23-20 OT,Box Score
3,Fri, Sep 3,Atlanta,W27-0,Box Score
#2005 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2005 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Chicago,W9-7,Ramsey  105,Portis  121,Moss  96
#3,BYE WEEK
4,Sun, Oct 2,Seattle,W20-17 OT,Brunell  226,Portis  90,Moss  87
7,Sun, Oct 23,San Francisco,W52-17,Brunell  252,Portis  101,Moss  112
9,Sun, Nov 6,Philadelphia,W17-10,Brunell  224,Portis  67,Cooley  85
11,Sun, Nov 20,Oakland,L16-13,Brunell  155,Portis  92,Cooley  74
12,Sun, Nov 27,San Diego,L23-17 OT,Brunell  194,Portis  87,Moss  65
15,Sun, Dec 18,Dallas,W35-7,Brunell  163,Portis  112,Moss  73
16,Sat, Dec 24,New York,W35-20,Brunell  112,Portis  108,Moss  160
#2005 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 19,Cincinnati,L24-17,Box Score
2,Fri, Aug 26,Pittsburgh,W17-10,Box Score
#2006 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 11,Minnesota,L19-16,Brunell  163,Portis  39,Moss  69
4,Sun, Oct 1,Jacksonville,W36-30 OT,Brunell  329,Portis  112,Moss  138
6,Sun, Oct 15,Tennessee,L25-22,Brunell  180,Portis  58,Lloyd  52
#8,BYE WEEK
9,Sun, Nov 5,Dallas,W22-19,Brunell  192,Portis  84,Cooley  66
12,Sun, Nov 26,Carolina,W17-13,Campbell  118,Betts  104,Cooley  89
13,Sun, Dec 3,Atlanta,L24-14,Campbell  217,Betts  155,Moss  123
14,Sun, Dec 10,Philadelphia,L21-19,Campbell  182,Betts  171,Randle El  85
17,Sat, Dec 30,New York,L34-28,Campbell  220,Betts  92,Moss  103
#2006 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 19,New York,L27-14,Box Score
3,Thu, Aug 31,Baltimore,L17-10,Box Score
#2007 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2007 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Miami,W16-13 OT,Campbell  222,Portis  98,Randle El  162
3,Sun, Sep 23,New York,L24-17,Campbell  190,Portis  60,Moss  82
#4,BYE WEEK
5,Sun, Oct 7,Detroit,W34-3,Campbell  248,Portis  72,Randle El  100
7,Sun, Oct 21,Arizona,W21-19,Campbell  95,Portis  43,Randle El  54
10,Sun, Nov 11,Philadelphia,L33-25,Campbell  215,Portis  137,Thrash  85
13,Sun, Dec 2,Buffalo,L17-16,Campbell  216,Portis  50,Cooley  89
14,Thu, Dec 6,Chicago,W24-16,Collins  224,Portis  36,Cooley  93
17,Sun, Dec 30,Dallas,W27-6
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 18,Pittsburgh,L12-10,Box Score
2,Sat, Aug 25,Baltimore,W13-7,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,New Orleans,W29-24,Campbell  321,Portis  96,Moss  164
3,Sun, Sep 21,Arizona,W24-17,Campbell  193,Portis  68,Moss  75
6,Sun, Oct 12,St. Louis,L19-17,Campbell  208,Portis  129,Randle El  87
7,Sun, Oct 19,Cleveland,W14-11,Campbell  164,Portis  175,Moss  75
9,Mon, Nov 3,Pittsburgh,L23-6,Campbell  206,Portis  51,Cooley  78
#10,BYE WEEK
11,Sun, Nov 16,Dallas,L14-10,Campbell  162,Portis  68,Cooley  47
13,Sun, Nov 30,New York,L23-7,Campbell  232,Campbell  38,Cooley  71
16,Sun, Dec 21,Philadelphia,W10-3,Campbell  144,Portis  70,Betts  43
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 3,Indianapolis,W30-16,Box Score
1,Sat, Aug 9,Buffalo,W17-14,Box Score
4,Thu, Aug 28,Jacksonville,L24-3,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
